# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518508795e-26       4.635694494937e-09       2.157256292905e+22       8.164029726346e+03       8.164029726346e-11       8.164029726346e+17       2.676317464404e-09       2.751560535470e+44       2.490422367464e+33       5.786976390289e+34      -9.203008540962e-09       1.902194177205e+44       4.653754713278e+44       4.653754713278e+44       1.551251570892e+44      -1.338578885274e+53       1.152418053983e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208453e-26       4.685716703534e-09       2.111374631126e+22       8.164029726346e+03       8.252258052126e-11       8.076744686321e+17       2.705240315981e-09       2.635761930281e+44       2.411394910978e+33       5.603340862901e+34      -9.203008540962e-09       1.822140902098e+44       4.457902832964e+44       4.457902832964e+44       1.485967610793e+44      -1.268536174705e+53       1.177192691427e-06       1.957908951182e+00 
       9.787314738953e+13       7.891635675002e-26       4.736648406833e-09       2.066468804669e+22       8.164029726346e+03       8.341439857710e-11       7.990392846991e+17       2.734475734592e-09       2.524836674885e+44       2.334875197339e+33       5.425532559375e+34      -9.203008540962e-09       1.745456645219e+44       4.270293320670e+44       4.270293320670e+44       1.423431106701e+44      -1.202158531139e+53       1.201967328869e-06       1.917553041714e+00 
       9.682674483178e+13       8.063126488684e-26       4.787580110133e-09       2.022518058954e+22       8.164029726346e+03       8.431585447316e-11       7.904964231119e+17       2.764027098707e-09       2.418579675807e+44       2.260783649468e+33       5.253366567032e+34      -9.203008540962e-09       1.671999622440e+44       4.090579298794e+44       4.090579298794e+44       1.363526432749e+44      -1.139254175646e+53       1.226741966309e-06       1.878827146124e+00 
       9.579152979933e+13       8.238343922405e-26       4.839421308134e-09       1.979502080821e+22       8.164029726346e+03       8.522705236515e-11       7.820448968138e+17       2.793897823319e-09       2.316794470871e+44       2.189043215469e+33       5.086663840938e+34      -9.203008540962e-09       1.601634016574e+44       3.918428487975e+44       3.918428487975e+44       1.306142829148e+44      -1.079641364352e+53       1.251516603749e-06       1.841634462246e+00 
       9.476738268169e+13       8.417368954164e-26       4.891262506135e-09       1.937400989142e+22       8.164029726346e+03       8.614809753444e-11       7.736837293013e+17       2.824091359558e-09       2.219292865953e+44       2.119579288499e+33       4.925251017715e+34      -9.203008540962e-09       1.534229726263e+44       3.753522592730e+44       3.753522592730e+44       1.251174197405e+44      -1.023147863346e+53       1.276291241189e-06       1.805885704716e+00 
       9.375418514718e+13       8.600284325345e-26       4.944013198838e-09       1.896195325631e+22       8.164029726346e+03       8.707909640011e-11       7.654119545109e+17       2.854611196038e-09       2.125894587024e+44       2.052319629182e+33       4.768960235247e+34      -9.203008540962e-09       1.469662125423e+44       3.595556712944e+44       3.595556712944e+44       1.198518904149e+44      -9.696104510576e+52       1.301065878629e-06       1.771498388659e+00 
       9.275182012925e+13       8.787174577378e-26       4.997673386242e-09       1.855866045850e+22       8.164029726345e+03       8.802015653136e-11       7.572286167079e+17       2.885460859129e-09       2.036426946831e+44       1.987194290481e+33       4.617628958112e+34      -9.203008540962e-09       1.407811832824e+44       3.444238780137e+44       3.444238780137e+44       1.148079593218e+44      -9.188744466762e+52       1.325840516068e-06       1.738396194404e+00 
       9.176017181296e+13       8.978126094573e-26       5.051333573647e-09       1.816394510408e+22       8.164029726345e+03       8.897138665986e-11       7.491327703755e+17       2.916643913332e-09       1.950724525616e+44       1.924135544956e+33       4.471099808549e+34      -9.203008540962e-09       1.348564491358e+44       3.299289017440e+44       3.299289017440e+44       1.099763005658e+44      -8.707932632465e+52       1.350615153508e-06       1.706508402072e+00 
       9.077912562158e+13       9.173227129027e-26       5.106812750455e-09       1.777762476348e+22       8.164029726345e+03       8.993289669233e-11       7.411234801062e+17       2.948163961545e-09       1.868628865258e+44       1.863077814332e+33       4.329220402798e+34      -9.203008540962e-09       1.291810556602e+44       3.160439422312e+44       3.160439422312e+44       1.053479807287e+44      -8.252279841479e+52       1.375389790947e-06       1.675769387311e+00 
