# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.064353451109e-10       1.919785369196e-15       3.257981092660e-13       0.000000000000e+00       1.462581042316e-08      -1.104966611273e-10      -1.336763027802e-12 
    3       1.048295514654e-10       3.539453306392e-15       3.845603808113e-13       0.000000000000e+00       8.961393880100e-09      -4.883468999212e-11      -1.196796825624e-12 
    4       1.034720628914e-10       4.616984890486e-15       3.960024435002e-13       0.000000000000e+00       6.326677721830e-09      -2.430242722463e-11      -1.002678298626e-12 
    5       1.024963801559e-10       4.852993792302e-15       3.789774545862e-13       0.000000000000e+00       4.812675358481e-09      -1.263579863748e-11      -8.004548908054e-13 
    6       1.018952178494e-10       4.339157931190e-15       3.464240966292e-13       0.000000000000e+00       3.833289775034e-09      -6.362628844874e-12      -6.067972009732e-13 
    7       1.016544062379e-10       3.399904387043e-15       3.080777319444e-13       0.000000000000e+00       3.151580221697e-09      -2.827816231235e-12      -4.323922185318e-13 
    8       1.017439325367e-10       2.390021514770e-15       2.699311326336e-13       0.000000000000e+00       2.653497417098e-09      -8.068845426011e-13      -2.832317396243e-13 
    9       1.021101585564e-10       1.563054649167e-15       2.355254986920e-13       0.000000000000e+00       2.275421719118e-09       4.041927658774e-13      -1.622631980729e-13 
   10       1.026926418305e-10       1.024531071613e-15       2.068664299205e-13       0.000000000000e+00       1.976336809788e-09       1.178262249055e-12      -7.012014398357e-14 
   11       1.034440423089e-10       7.544294928985e-16       1.849319109123e-13       0.000000000000e+00       1.509120970627e-09       2.631011098574e-12      -5.450790603731e-15 
   12       1.043393035610e-10       6.647061347163e-16       1.700015773651e-13       0.000000000000e+00       1.329181984736e-09       2.643947987133e-12       3.418119824995e-14 
   13       1.053511312913e-10       6.582747608442e-16       1.617977361454e-13       0.000000000000e+00       1.180780113498e-09       2.663269556744e-12       5.348467067511e-14 
   14       1.064582118862e-10       6.676326415355e-16       1.596105133349e-13       0.000000000000e+00       1.056738655513e-09       2.698675469902e-12       5.687157033705e-14 
   15       1.076159085323e-10       6.666017101238e-16       1.625105866875e-13       0.000000000000e+00       9.518507838739e-10       2.721051926643e-12       4.893827503798e-14 
   16       1.088245347381e-10       6.610547626562e-16       1.694814097583e-13       0.000000000000e+00       8.622592107971e-10       2.629028567471e-12       3.391438432904e-14 
   17       1.100764394545e-10       6.705831938757e-16       1.794526830823e-13       0.000000000000e+00       7.850503458963e-10       2.554601264288e-12       1.590408722494e-14 
   18       1.113451253698e-10       7.129535492596e-16       1.913343492881e-13       0.000000000000e+00       7.176718833978e-10       2.511241081933e-12      -1.863826973188e-15 
   19       1.126448214384e-10       7.923897636947e-16       2.043843859294e-13       0.000000000000e+00       6.593111791985e-10       2.487916547222e-12      -1.735177831528e-14 
   20       1.139554697544e-10       9.061746947288e-16       2.177927992834e-13       0.000000000000e+00       6.076389267570e-10       2.480393664915e-12      -2.888227108486e-14 
   21       1.152888747276e-10       1.046704258312e-15       2.311404277875e-13       0.000000000000e+00       5.619053544760e-10       2.467262377214e-12      -3.598565312871e-14 
   22       1.166351842240e-10       1.204038037623e-15       2.441109934098e-13       0.000000000000e+00       5.211236170373e-10       2.422799084085e-12      -3.885906856698e-14 
   23       1.179778445048e-10       1.377127973269e-15       2.565614150869e-13       0.000000000000e+00       4.847720946659e-10       2.355995424247e-12      -3.795898554681e-14 
