# Matter power spectrum P(k) at redshift z=0
# for k=1.65667e-05 to 1.19684 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.656670200632e-05       1.325562969451e+01 
       3.471341398565e-05       2.708653584060e+01 
       5.299627560692e-05       4.076251630243e+01 
       7.151319480960e-05       5.444779431976e+01 
       9.036543470875e-05       6.825622859724e+01 
       1.096593981035e-04       8.228622008961e+01 
       1.295085244464e-04       9.663178065139e+01 
       1.500353448949e-04       1.113878759423e+02 
       1.713737404094e-04       1.266538495542e+02 
       1.936714457318e-04       1.425361099408e+02 
       2.170928368097e-04       1.591505600029e+02 
       2.418220283292e-04       1.766249832320e+02 
       2.680662878266e-04       1.951015774629e+02 
       2.960597381577e-04       2.147393504824e+02 
       3.260672638692e-04       2.357166576666e+02 
       3.583884503472e-04       2.582338464734e+02 
       3.933612575584e-04       2.825153132550e+02 
       4.313649541780e-04       3.088111031560e+02 
       4.728216110134e-04       3.373974237307e+02 
       5.181951893124e-04       3.685755895149e+02 
       5.679870050081e-04       4.026679955790e+02 
       6.227261970663e-04       4.400111755951e+02 
       6.829539268194e-04       4.809444596398e+02 
       7.492005749060e-04       5.257938309939e+02 
       8.219563409214e-04       5.748521758213e+02 
       9.016373778391e-04       6.283566203570e+02 
       9.885515725766e-04       6.864662633264e+02 
       1.082869602629e-03       7.492440083101e+02 
       1.184607081631e-03       8.166470095038e+02 
       1.293621916429e-03       8.885265893339e+02 
       1.409627731540e-03       9.646396895710e+02 
       1.532220541829e-03       1.044668437503e+03 
       1.660913209199e-03       1.128244258222e+03 
       1.795171479201e-03       1.214973164379e+03 
       1.934446456515e-03       1.304456923621e+03 
       2.078200424090e-03       1.396310173135e+03 
       2.225925002585e-03       1.490143264475e+03 
       2.377152183853e-03       1.585629787695e+03 
       2.531459590185e-03       1.682495640658e+03 
       2.688471537825e-03       1.780479471284e+03 
       2.847857347731e-03       1.879351379592e+03 
       3.009328052356e-03       1.978912200844e+03 
       3.172632327781e-03       2.078988835999e+03 
       3.337552202924e-03       2.179431933342e+03 
       3.503898883951e-03       2.280112292980e+03 
       3.671508880869e-03       2.380919000170e+03 
       3.840240523118e-03       2.481755519863e+03 
       4.009970888583e-03       2.582539008785e+03 
       4.180593134220e-03       2.683197303466e+03 
       4.352014197384e-03       2.783668117463e+03 
       4.524152828605e-03       2.883897114382e+03 
       4.696937914608e-03       2.983837253551e+03 
       4.870307051928e-03       3.083446983812e+03 
       5.044205334903e-03       3.182690798673e+03 
       5.218584325862e-03       3.281536791130e+03 
       5.393401179572e-03       3.379957586269e+03 
       5.568617897975e-03       3.477928496240e+03 
       5.744200694823e-03       3.575428996119e+03 
       5.920119453014e-03       3.672439322250e+03 
       6.096347260142e-03       3.768943537416e+03 
       6.272860010106e-03       3.864926569136e+03 
       6.449636060594e-03       3.960375398161e+03 
