# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.525385613867e-10       1.631869913653e-14       7.518419803671e-13       0.000000000000e+00       8.529061148154e-09       4.913520380839e-10      -3.516973975957e-12 
    3       1.442766779690e-10       3.943217429402e-14       1.128181625816e-12       0.000000000000e+00       5.335849582759e-09       3.542796013226e-10      -3.596584780455e-12 
    4       1.351609333077e-10       6.640312399846e-14       1.356622776457e-12       0.000000000000e+00       3.723689972887e-09       2.726028227528e-10      -3.412384252905e-12 
    5       1.270828604369e-10       9.165280317644e-14       1.462083719334e-12       0.000000000000e+00       2.783477515995e-09       2.189760289590e-10      -3.131306581731e-12 
    6       1.202831295721e-10       1.104876567974e-13       1.476557675421e-12       0.000000000000e+00       2.175233718503e-09       1.811483746891e-10      -2.801888365586e-12 
    7       1.146570460694e-10       1.201371279472e-13       1.430105889864e-12       0.000000000000e+00       1.754115238634e-09       1.530414595760e-10      -2.452112200550e-12 
    8       1.100872847461e-10       1.199538467950e-13       1.345327317799e-12       0.000000000000e+00       1.449046523749e-09       1.313789981210e-10      -2.099823226212e-12 
    9       1.064302936874e-10       1.111247425678e-13       1.238191097988e-12       0.000000000000e+00       1.220496963823e-09       1.142351116817e-10      -1.757686317490e-12 
   10       1.035732193687e-10       9.606290453292e-14       1.118893302312e-12       0.000000000000e+00       1.044177665257e-09       1.003545008219e-10      -1.434855424686e-12 
   11       1.014486090667e-10       7.770029926896e-14       9.931469489942e-13       0.000000000000e+00       8.782963903933e-10       8.873502697146e-11      -1.142443432981e-12 
   12       9.990042739076e-11       5.885387092407e-14       8.647008498787e-13       0.000000000000e+00       7.675980761814e-10       7.889434041126e-11      -8.779949271993e-13 
   13       9.888813024626e-11       4.177149639036e-14       7.364391743554e-13       0.000000000000e+00       6.767053570650e-10       7.073489989924e-11      -6.418161548757e-13 
   14       9.833762606833e-11       2.789542160475e-14       6.109494914247e-13       0.000000000000e+00       6.010685573900e-10       6.359066955289e-11      -4.416045157533e-13 
   15       9.816524729388e-11       1.782840961326e-14       4.912064127765e-13       0.000000000000e+00       5.373894205184e-10       5.750688891761e-11      -2.730371376071e-13 
   16       9.829257537753e-11       1.145557900949e-14       3.803917722997e-13       0.000000000000e+00       4.832373322027e-10       5.223380067824e-11      -1.362359411625e-13 
   17       9.870885324457e-11       8.158860573170e-15       2.817242023527e-13       0.000000000000e+00       4.367756978635e-10       4.762073096164e-11      -2.993552949511e-14 
   18       9.929688171101e-11       7.017153734354e-15       1.982288272856e-13       0.000000000000e+00       3.964419090797e-10       4.357712245998e-11       4.843252148081e-14 
   19       1.000481564575e-10       7.248328397585e-15       1.323294403855e-13       0.000000000000e+00       3.616006026304e-10       4.005288415590e-11       1.008231356989e-13 
   20       1.009388413799e-10       7.928632726322e-15       8.480641829242e-14       0.000000000000e+00       3.309088416651e-10       3.692074792226e-11       1.315111687106e-13 
   21       1.019407554194e-10       8.588814067662e-15       5.603138462777e-14       0.000000000000e+00       3.038859946535e-10       3.413437158138e-11       1.433903902064e-13 
   22       1.029949977931e-10       8.902258800003e-15       4.501039626074e-14       0.000000000000e+00       2.798876517395e-10       3.163175647055e-11       1.402061447073e-13 
   23       1.041044077843e-10       8.842054877162e-15       4.994374198256e-14       0.000000000000e+00       2.585849603541e-10       2.939790569144e-11       1.249804925564e-13 
   24       1.052701497622e-10       8.516189300768e-15       6.779966534618e-14       0.000000000000e+00       2.394863624542e-10       2.740457380201e-11       1.012376800209e-13 
   25       1.064851379865e-10       8.114802073221e-15       9.567825476040e-14       0.000000000000e+00       2.223679141580e-10       2.562865148359e-11       7.167871232967e-14 
   26       1.077259951765e-10       7.869654957424e-15       1.300483422898e-13       0.000000000000e+00       2.069204907856e-10       2.403021743768e-11       3.912150904392e-14 
   27       1.089878119942e-10       7.921371666949e-15       1.677063626025e-13       0.000000000000e+00       1.929592659342e-10       2.258632327598e-11       5.788720105195e-15 
   28       1.102638091901e-10       8.361721371235e-15       2.053071726507e-13       0.000000000000e+00       1.802440166312e-10       2.126938436816e-11      -2.620268436601e-14 
   29       1.115638051020e-10       9.143626161410e-15       2.406960522370e-13       0.000000000000e+00       1.687101510694e-10       2.007292839175e-11      -5.555089067695e-14 
   30       1.128930944870e-10       1.014887551730e-14       2.718407030704e-13       0.000000000000e+00       1.582341904702e-10       1.898516151147e-11      -8.115080883199e-14 
   31       1.142479158753e-10       1.122752649867e-14       2.967248756045e-13       0.000000000000e+00       1.486028877507e-10       1.798402051423e-11      -1.019884858687e-13 
   32       1.156324214303e-10       1.224180271479e-14       3.145552036800e-13       0.000000000000e+00       1.397667145603e-10       1.706044086932e-11      -1.176695284450e-13 
   33       1.170457367690e-10       1.303421151846e-14       3.250287785207e-13       0.000000000000e+00       1.316633525257e-10       1.620176005625e-11      -1.281175164683e-13 
   34       1.184806844685e-10       1.345267119911e-14       3.280998932126e-13       0.000000000000e+00       1.241796069989e-10       1.539095639441e-11      -1.334603026435e-13 
   35       1.199389427459e-10       1.348511722607e-14       3.241772924434e-13       0.000000000000e+00       1.172773129297e-10       1.462850923118e-11      -1.340369260397e-13 
   36       1.214196399882e-10       1.317299186014e-14       3.140390733005e-13       0.000000000000e+00       1.109012414415e-10       1.391722996932e-11      -1.304279812658e-13 
   37       1.229176378942e-10       1.257840072899e-14       2.986983803299e-13       0.000000000000e+00       1.049685809042e-10       1.325665594781e-11      -1.233851662766e-13 
   38       1.244340804227e-10       1.178774182973e-14       2.790292922896e-13       0.000000000000e+00       9.946409982029e-11       1.264495213810e-11      -1.135255676413e-13 
   39       1.259682688440e-10       1.091198788266e-14       2.560521355363e-13       0.000000000000e+00       9.437042279014e-11       1.207700787446e-11      -1.015625656697e-13 
   40       1.275141546111e-10       1.008779626912e-14       2.310557295084e-13       0.000000000000e+00       8.963908093667e-11       1.154347450444e-11      -8.840404020394e-14 
   41       1.290633824881e-10       9.449837861814e-15       2.054212353417e-13       0.000000000000e+00       8.520741782656e-11       1.103390487436e-11      -7.501696946294e-14 
   42       1.306168947171e-10       9.033060334821e-15       1.799833309440e-13       0.000000000000e+00       8.106244777511e-11       1.054825139658e-11      -6.193755515812e-14 
   43       1.321762058380e-10       8.841331550335e-15       1.554900671160e-13       0.000000000000e+00       7.719321935092e-11       1.008851553107e-11      -4.962309353273e-14 
   44       1.337398690429e-10       8.873594233401e-15       1.327821519620e-13       0.000000000000e+00       7.357165146295e-11       9.655466027930e-12      -3.858888857158e-14 
   45       1.353051243927e-10       9.122501241754e-15       1.126333834008e-13       0.000000000000e+00       7.016257598536e-11       9.248901894321e-12      -2.931810191798e-14 
   46       1.368741101102e-10       9.570780174727e-15       9.520596110847e-14       0.000000000000e+00       6.696066003566e-11       8.868802814275e-12      -2.195320828266e-14 
   47       1.384490180532e-10       1.019309953841e-14       8.043890231633e-14       0.000000000000e+00       6.396220187370e-11       8.514329370098e-12      -1.651659620062e-14 
