# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097740214050e+01 
       2.326967407118e-05       1.107711274916e+02 
       3.616373025385e-05       1.695899997598e+02 
       4.913726151694e-05       2.280372886129e+02 
       6.222535674519e-05       2.864604298766e+02 
       7.546398425925e-05       3.451223598615e+02 
       8.889031306114e-05       4.042494779992e+02 
       1.025430482400e-04       4.640515724738e+02 
       1.164627848241e-04       5.247318113196e+02 
       1.306923843984e-04       5.864930247440e+02 
       1.452773788140e-04       6.495419858922e+02 
       1.602664052592e-04       7.140928340092e+02 
       1.757116767896e-04       7.803699824170e+02 
       1.916694920592e-04       8.486107571552e+02 
       2.082007873531e-04       9.190680284896e+02 
       2.253717329846e-04       9.920127313128e+02 
       2.432543744979e-04       1.067736448602e+03 
       2.619273167265e-04       1.146554012367e+03 
       2.814764453069e-04       1.228806071824e+03 
       3.019956754356e-04       1.314861760476e+03 
       3.235877111086e-04       1.405120993750e+03 
       3.463647893982e-04       1.500016890055e+03 
       3.704493731400e-04       1.600017359505e+03 
       3.959747414598e-04       1.705626596271e+03 
       4.230854108700e-04       1.817385134232e+03 
       4.519373007024e-04       1.935868943243e+03 
       4.826975366868e-04       2.061686780300e+03 
       5.155437679602e-04       2.195475277995e+03 
       5.506628596178e-04       2.337891338134e+03 
       5.882488207355e-04       2.489601442942e+03 
       6.284998437510e-04       2.651267214560e+03 
       6.716143729589e-04       2.823527357116e+03 
       7.177861941321e-04       3.006976125475e+03 
       7.671986460617e-04       3.202138646974e+03 
       8.200181922824e-04       3.409444657751e+03 
       8.763877404929e-04       3.629202499614e+03 
       9.364202297721e-04       3.861575179474e+03 
       1.000193085873e-03       4.106561620048e+03 
       1.067744139097e-03       4.363984659487e+03 
       1.139069488995e-03       4.633488514676e+03 
       1.214123592691e-03       4.914545736911e+03 
       1.292821585146e-03       5.206473340791e+03 
       1.375043566260e-03       5.508436867074e+03 
       1.460640369998e-03       5.819518127641e+03 
       1.549440206739e-03       6.138751929883e+03 
       1.641255555047e-03       6.465114741563e+03 
       1.735889757970e-03       6.797574527188e+03 
       1.833142917693e-03       7.135112029379e+03 
       1.932816842085e-03       7.476744693062e+03 
       2.034718945141e-03       7.821539149437e+03 
       2.138665120595e-03       8.168620087598e+03 
       2.244481687023e-03       8.517181419721e+03 
       2.352006545691e-03       8.866481969060e+03 
       2.461089706729e-03       9.215851183116e+03 
       2.571593333874e-03       9.564683871134e+03 
       2.683391441209e-03       9.912439828455e+03 
       2.796369353385e-03       1.025863534103e+04 
       2.910423018044e-03       1.060284635948e+04 
       3.025458238157e-03       1.094469555046e+04 
       3.141389873900e-03       1.128385496303e+04 
       3.258141048979e-03       1.162003857301e+04 
       3.375642384775e-03       1.195299367483e+04 
       3.493831276973e-03       1.228251219688e+04 
       3.612651222911e-03       1.260839489745e+04 
       3.732051203381e-03       1.293050284800e+04 
       3.851985119443e-03       1.324869435826e+04 
       3.972411282778e-03       1.356284239798e+04 
       4.093291956816e-03       1.387286996445e+04 
       4.214592945137e-03       1.417869422627e+04 
       4.336283223305e-03       1.448024186378e+04 
       4.458334610212e-03       1.477747651472e+04 
       4.580721475085e-03       1.507034613101e+04 
       4.703420476514e-03       1.535881806283e+04 
