# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.154420452969e+04       1.154420452969e-10       1.154420452969e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       3.039026089927e-07       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       8.751405089083e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208823e-26       4.685716703534e-09       2.111374631024e+22       1.154420452969e+04       1.166896226236e-10       1.142078063387e+18       2.705240316110e-09       2.635761930281e+44       2.411394910978e+33       1.293969540318e+34       3.039026089927e-07       1.822140902098e+44       4.457902832533e+44       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       8.939542447276e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675380e-26       4.736648406833e-09       2.066468804568e+22       1.154420452969e+04       1.179506824660e-10       1.129867631429e+18       2.734475734723e-09       2.524836674885e+44       2.334875197339e+33       1.252908585004e+34       3.039026089927e-07       1.745456645219e+44       4.270293320253e+44       4.270293320253e+44       1.423431106701e+44      -1.202158531080e+53       9.127679805448e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489070e-26       4.787580110133e-09       2.022518058854e+22       1.154420452969e+04       1.192253705291e-10       1.117787746282e+18       2.764027098839e-09       2.418579675807e+44       2.260783649468e+33       1.213150598578e+34       3.039026089927e-07       1.671999622440e+44       4.090579298390e+44       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       9.315817163608e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922800e-26       4.838511813432e-09       1.979502080722e+22       1.154420452969e+04       1.205138340924e-10       1.105837012216e+18       2.793897823452e-09       2.316794470871e+44       2.189043215469e+33       1.174654234510e+34       3.039026089927e-07       1.601634016574e+44       3.918428487584e+44       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       9.503954521771e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954567e-26       4.891262506135e-09       1.937400989045e+22       1.154420452969e+04       1.218162220272e-10       1.094014048421e+18       2.824091359693e-09       2.219292865953e+44       2.119579288499e+33       1.137379458305e+34       3.039026089927e-07       1.534229726263e+44       3.753522592351e+44       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       9.692091879930e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325758e-26       4.944013198838e-09       1.896195325534e+22       1.154420452969e+04       1.231326848137e-10       1.082317488854e+18       2.854611196175e-09       2.125894587024e+44       2.052319629182e+33       1.101287505862e+34       3.039026089927e-07       1.469662125423e+44       3.595556712578e+44       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       9.880229238088e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577801e-26       4.998582880944e-09       1.855866045754e+22       1.154420452969e+04       1.244633745581e-10       1.070745982073e+18       2.885460859268e-09       2.036426946831e+44       1.987194290481e+33       1.066340843165e+34       3.039026089927e-07       1.407811832824e+44       3.444238779782e+44       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       1.006836659625e-05       1.738396194401e+00 
       9.176017181296e+13       8.978126095006e-26       5.051333573647e-09       1.816394510313e+22       1.154420452969e+04       1.258084450106e-10       1.059298191088e+18       2.916643913472e-09       1.950724525616e+44       1.924135544956e+33       1.032503127248e+34       3.039026089927e-07       1.348564491358e+44       3.299289017096e+44       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       1.025650395440e-05       1.706508402067e+00 
       9.077912562158e+13       9.173227129470e-26       5.105903255753e-09       1.777762476255e+22       1.154420452969e+04       1.271680515829e-10       1.047972793202e+18       2.948163961687e-09       1.868628865258e+44       1.863077814332e+33       9.997391684009e+33       3.039026089927e-07       1.291810556602e+44       3.160439421979e+44       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       1.044464131255e-05       1.675769387306e+00 
       8.980856820338e+13       9.372567846669e-26       5.162291927263e-09       1.739952088621e+22       1.154420452969e+04       1.285423513662e-10       1.036768479859e+18       2.980024645718e-09       1.789988176302e+44       1.803957601300e+33       9.680148935709e+33       3.039026089927e-07       1.237445094279e+44       3.027433270696e+44       3.027433270696e+44       1.009144423527e+44      -7.820469616928e+52       1.063277867070e-05       1.646118170433e+00 
       8.884838741853e+13       9.576240376613e-26       5.216861609370e-09       1.702945872203e+22       1.154420452969e+04       1.299315031494e-10       1.025683956493e+18       3.012229646798e-09       1.714657057307e+44       1.746713423485e+33       9.372973109315e+33       3.039026089927e-07       1.185367586236e+44       2.900024643655e+44       2.900024643655e+44       9.666748811811e+43      -7.411254369381e+52       1.082091602883e-05       1.617498012609e+00 
       8.789847232612e+13       9.784338856396e-26       5.273250280879e-09       1.666726723466e+22       1.154420452969e+04       1.313356674375e-10       1.014717942380e+18       3.044782685987e-09       1.642496226007e+44       1.691285749500e+33       9.075544755708e+33       3.039026089927e-07       1.135481744601e+44       2.777977970715e+44       2.777977970715e+44       9.259926568692e+43      -7.023451789746e+52       1.100905338696e-05       1.589856053482e+00 
       8.695871317136e+13       9.996959462967e-26       5.331457941793e-09       1.631277902639e+22       1.154420452969e+04       1.327550064701e-10       1.003869170489e+18       3.077687524502e-09       1.573372261788e+44       1.637616937045e+33       8.787554562703e+33       3.039026089927e-07       1.087695333746e+44       2.661067595638e+44       2.661067595638e+44       8.870225318445e+43      -6.655941435054e+52       1.119719074508e-05       1.563142985411e+00 
       8.602900137289e+13       1.021420046244e-25       5.387846613303e-09       1.596583025983e+22       1.154420452969e+04       1.341896842398e-10       9.931363873338e+17       3.110947964195e-09       1.507157359005e+44       1.585651172954e+33       8.508703033382e+33       3.039026089927e-07       1.041919999751e+44       2.549077358857e+44       2.549077358857e+44       8.496924529186e+43      -6.307661490828e+52       1.138532810319e-05       1.537312759907e+00 
       8.510922951025e+13       1.043616225893e-25       5.446054274216e-09       1.562626058217e+22       1.154420452969e+04       1.356398665118e-10       9.825183528308e+17       3.144567848029e-09       1.443729090674e+44       1.535334415158e+33       8.238700174627e+33       3.039026089927e-07       9.980711070464e+43       2.441800197818e+44       2.441800197818e+44       8.139333992402e+43      -5.977605703280e+52       1.157346546130e-05       1.512322322709e+00 
       8.419929131143e+13       1.066294744229e-25       5.506080924533e-09       1.529391305106e+22       1.154420452969e+04       1.371057208426e-10       9.720138401543e+17       3.178551060534e-09       1.382970182115e+44       1.486614336480e+33       7.977265195541e+33       3.039026089927e-07       9.560675819248e+43       2.339037764134e+44       2.339037764134e+44       7.796792546798e+43      -5.664820472032e+52       1.176160281939e-05       1.488131374309e+00 
       8.329908164066e+13       1.089466082148e-25       5.564288585447e-09       1.496863406209e+22       1.154420452969e+04       1.385874165995e-10       9.616216355952e+17       3.212901528123e-09       1.324768294116e+44       1.439440270216e+33       7.724126215441e+33       3.039026089927e-07       9.158317626413e+43       2.240600056849e+44       2.240600056849e+44       7.468666855858e+43      -5.368402094962e+52       1.194974017748e-05       1.464702153154e+00 
       8.240849648618e+13       1.113140949342e-25       5.624315235764e-09       1.465027327780e+22       1.154420452969e+04       1.400851249801e-10       9.513405384208e+17       3.247623219745e-09       1.269015815230e+44       1.393763157448e+33       7.479019981109e+33       3.039026089927e-07       8.772892558222e+43       2.146305071141e+44       2.146305071141e+44       7.154350236842e+43      -5.087494157226e+52       1.213787753556e-05       1.441999238858e+00 
       8.152743294829e+13       1.137330287972e-25       5.686160875484e-09       1.433868355815e+22       1.154420452969e+04       1.415990190322e-10       9.411693607357e+17       3.282720147207e-09       1.215609662805e+44       1.349535496021e+33       7.241691593026e+33       3.039026089927e-07       8.403687989172e+43       2.055978461808e+44       2.055978461808e+44       6.853261539073e+43      -4.821285056888e+52       1.232601489364e-05       1.419989373603e+00 
       8.065578922741e+13       1.162045278020e-25       5.748006515205e-09       1.403372089259e+22       1.154420452969e+04       1.431292736736e-10       9.311069273449e+17       3.318196365692e-09       1.164451092389e+44       1.306711291147e+33       7.011894240284e+33       3.039026089927e-07       8.050021284391e+43       1.969453220911e+44       1.969453220911e+44       6.564844069427e+43      -4.569005660037e+52       1.251415225172e-05       1.398641299539e+00 
       7.979346461238e+13       1.187297342355e-25       5.809852154925e-09       1.373524433344e+22       1.154420452969e+04       1.446760657125e-10       9.211520756180e+17       3.354055974187e-09       1.115445515164e+44       1.265246007567e+33       6.789388943914e+33       3.039026089927e-07       7.711238537489e+43       1.886569368994e+44       1.886569368994e+44       6.288564563044e+43      -4.329927078597e+52       1.270228960980e-05       1.377925610716e+00 
       7.894035946874e+13       1.213098151992e-25       5.871697794646e-09       1.344311593079e+22       1.154420452969e+04       1.462395738680e-10       9.113036553544e+17       3.390303115974e-09       1.068502323054e+44       1.225096523241e+33       6.573944308360e+33       3.039026089927e-07       7.386713361536e+43       1.807173659286e+44       1.807173659286e+44       6.023912197359e+43      -4.103358564413e+52       1.289042696789e-05       1.357814617910e+00 
       7.809637522728e+13       1.239459631417e-25       5.935362423770e-09       1.315720066869e+22       1.154420452969e+04       1.478199787902e-10       9.015605286513e+17       3.426941979096e-09       1.023534721195e+44       1.186221084502e+33       6.365336280839e+33       3.039026089927e-07       7.075845730907e+43       1.731119294361e+44       1.731119294361e+44       5.770397647618e+43      -3.888645513540e+52       1.307856432597e-05       1.338282225163e+00 
       7.726141437266e+13       1.266393964495e-25       5.999027052894e-09       1.287736640280e+22       1.154420452969e+04       1.494174630820e-10       8.919215697712e+17       3.463976796876e-09       9.804595674597e+43       1.148579262631e+33       6.163347918333e+33       3.039026089927e-07       6.778060871876e+43       1.658265654720e+44       1.658265654720e+44       5.527552182158e+43      -3.685167574952e+52       1.326670168406e-05       1.319303816799e+00 
       7.643538043208e+13       1.293913599522e-25       6.064510671422e-09       1.260348379931e+22       1.154420452969e+04       1.510322113193e-10       8.823856650127e+17       3.501411848364e-09       9.391972187335e+43       1.112131911819e+33       5.967769161979e+33       3.039026089927e-07       6.492808199900e+43       1.588478038794e+44       1.588478038794e+44       5.294926795745e+43      -3.492336858217e+52       1.345483904214e-05       1.300856153933e+00 
