# Matter power spectrum P(k) at redshift z=0
# for k=6.04767e-06 to 1.19977 h/Mpc,
# number of wavenumbers equal to 678
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.047668715125e-06       2.321651391310e+02 
       1.246848287362e-05       4.670354209918e+02 
       1.889548287529e-05       6.978412459976e+02 
       2.533295829320e-05       9.262970885810e+02 
       3.178521771888e-05       1.153265655483e+03 
       3.825659833446e-05       1.379303922650e+03 
       4.475147556785e-05       1.604823492124e+03 
       5.127427286488e-05       1.830155920622e+03 
       5.782947161216e-05       2.055584053293e+03 
       6.442162124492e-05       2.281359525735e+03 
       7.105534957398e-05       2.507713014767e+03 
       7.773537336696e-05       2.734861037075e+03 
       8.446650921853e-05       2.963010386072e+03 
       9.125368474545e-05       3.192361335929e+03 
       9.810195014229e-05       3.423109973883e+03 
       1.050164901341e-04       3.655450151751e+03 
       1.120026363626e-04       3.889574751596e+03 
       1.190658802429e-04       4.125677094895e+03 
       1.262118863275e-04       4.363951830915e+03 
       1.334465062140e-04       4.604595803582e+03 
       1.407757930339e-04       4.847808960792e+03 
       1.482060165560e-04       5.093795014494e+03 
       1.557436789420e-04       5.342762089202e+03 
       1.633955311838e-04       5.594923429933e+03 
       1.711685902548e-04       5.850497929744e+03 
       1.790701570025e-04       6.109710851410e+03 
       1.871078348049e-04       6.372794275087e+03 
       1.952895490090e-04       6.639987782804e+03 
       2.036235671636e-04       6.911538990650e+03 
       2.121185200490e-04       7.187703936767e+03 
       2.207834234973e-04       7.468748093012e+03 
       2.296277009860e-04       7.754946406206e+03 
       2.386612069691e-04       8.046584228480e+03 
       2.478942508975e-04       8.343957601291e+03 
       2.573376218564e-04       8.647373953470e+03 
       2.670026137232e-04       8.957152560992e+03 
       2.769010507222e-04       9.273625092502e+03 
       2.870453132168e-04       9.597135965218e+03 
       2.974483635447e-04       9.928042922725e+03 
       3.081237716527e-04       1.026671728092e+04 
       3.190857402415e-04       1.061354450989e+04 
       3.303491290719e-04       1.096892412720e+04 
       3.419294780211e-04       1.133327024614e+04 
       3.538430284065e-04       1.170701143106e+04 
       3.661067420185e-04       1.209059080954e+04 
       3.787383172209e-04       1.248446573882e+04 
       3.917562013878e-04       1.288910752196e+04 
       4.051795988551e-04       1.330500104061e+04 
       4.190284734724e-04       1.373264370417e+04 
       4.333235447456e-04       1.417254457698e+04 
       4.480862764773e-04       1.462522304399e+04 
       4.633388567323e-04       1.509120727873e+04 
       4.791041678971e-04       1.557103209369e+04 
       4.954057455616e-04       1.606523671196e+04 
       5.122677249473e-04       1.657436201526e+04 
       5.297147736396e-04       1.709894686691e+04 
       5.477720094634e-04       1.763952496699e+04 
       5.664649024895e-04       1.819662079739e+04 
       5.858191603690e-04       1.877074400380e+04 
       6.058605964863e-04       1.936238521828e+04 
       6.266149807925e-04       1.997201014430e+04 
       6.481078736428e-04       2.060005330576e+04 
       6.703644434986e-04       2.124689805701e+04 
       6.934092699684e-04       2.191283360896e+04 
       7.172661343287e-04       2.259823735334e+04 
       7.419578003650e-04       2.330335448629e+04 
       7.675057890678e-04       2.402836754322e+04 
       7.939301513745e-04       2.477339023135e+04 
       8.212492437187e-04       2.553845900424e+04 
