# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.593221360418e-10       7.243438436121e-15       2.710681926814e-13       0.000000000000e+00       4.428118527203e-09       1.141088687793e-09      -2.007707132077e-12 
    3       3.651435269213e-10       5.997343345623e-15       4.445190882572e-13       0.000000000000e+00       2.835664313863e-09       7.791734234960e-10      -1.002456317684e-12 
    4       3.031428497837e-10       3.208180094148e-15       4.367725977823e-13       0.000000000000e+00       2.022486387438e-09       5.753742788019e-10      -2.304258015343e-13 
    5       2.615029550043e-10       1.542640557769e-15       3.509543801005e-13       0.000000000000e+00       1.536773822953e-09       4.464480491787e-10       1.561004919172e-13 
    6       2.327000542419e-10       8.769309930369e-16       2.570354337430e-13       0.000000000000e+00       1.216423179982e-09       3.584850124873e-10       2.495651119288e-13 
    7       2.123004923152e-10       5.883855935813e-16       1.897279342688e-13       0.000000000000e+00       9.912959179418e-10       2.952399593318e-10       1.947590433291e-13 
    8       1.974848137821e-10       4.236548446367e-16       1.558014928670e-13       0.000000000000e+00       8.257275808123e-10       2.478729339014e-10       1.078742833904e-13 
    9       1.865287721110e-10       3.395067604110e-16       1.468926715017e-13       0.000000000000e+00       6.996876386962e-10       2.111973372766e-10       4.828305360981e-14 
   10       1.783805796155e-10       3.162508358398e-16       1.505048249478e-13       0.000000000000e+00       6.011101031917e-10       1.820695621535e-10       2.589501168813e-14 
   11       1.723900398565e-10       3.369894305995e-16       1.575416587281e-13       0.000000000000e+00       5.210758198408e-10       1.595940029501e-10       2.600637620707e-14 
   12       1.680471153808e-10       3.948382713986e-16       1.647155921851e-13       0.000000000000e+00       4.572356095269e-10       1.401403697231e-10       2.784336465705e-14 
   13       1.650280023195e-10       4.880688594433e-16       1.728145081935e-13       0.000000000000e+00       4.044388659490e-10       1.240974514552e-10       2.402108380945e-14 
   14       1.629462051922e-10       6.164671628370e-16       1.833121135435e-13       0.000000000000e+00       3.602233099051e-10       1.106051602662e-10       1.525316412367e-14 
   15       1.616253101285e-10       7.800607121759e-16       1.964652196815e-13       0.000000000000e+00       3.227884806352e-10       9.908845029884e-11       6.428208013531e-15 
   16       1.610240683981e-10       9.777205860211e-16       2.112126950457e-13       0.000000000000e+00       2.907913767449e-10       8.920524224443e-11       1.105940790297e-15 
   17       1.609232916693e-10       1.208175887025e-15       2.255718063112e-13       0.000000000000e+00       2.632117479785e-10       8.071247615111e-11      -5.513781837854e-16 
   18       1.612961936868e-10       1.473353646751e-15       2.377698592724e-13       0.000000000000e+00       2.391774777117e-10       7.333374765785e-11      -8.180503336572e-16 
   19       1.621162454569e-10       1.776999795385e-15       2.478170393295e-13       0.000000000000e+00       2.183263575738e-10       6.694072678909e-11      -1.145017607020e-15 
   20       1.632231890398e-10       2.123291841972e-15       2.563891476875e-13       0.000000000000e+00       1.999007595312e-10       6.128685842780e-11      -2.582469283451e-15 
   21       1.646057410369e-10       2.515763170433e-15       2.638283957635e-13       0.000000000000e+00       1.836317323737e-10       5.626823357092e-11      -4.789219769225e-15 
   22       1.662427219640e-10       2.957542316386e-15       2.703066152129e-13       0.000000000000e+00       1.691457477635e-10       5.175627777189e-11      -6.841972723347e-15 
   23       1.681149265972e-10       3.450790800932e-15       2.754327976115e-13       0.000000000000e+00       1.562553388182e-10       4.774306694554e-11      -8.025406009584e-15 
   24       1.701677640761e-10       3.997181467092e-15       2.785642120763e-13       0.000000000000e+00       1.446751504730e-10       4.419870961761e-11      -7.889537944862e-15 
   25       1.723942715746e-10       4.598600471551e-15       2.791431900561e-13       0.000000000000e+00       1.342757991186e-10       4.102960910609e-11      -7.311314039777e-15 
   26       1.747767056319e-10       5.257028145840e-15       2.767586150101e-13       0.000000000000e+00       1.248755700855e-10       3.810218874133e-11      -7.501211709340e-15 
