# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       2.783264278942e+03 
       2.326967407118e-05       6.047883447910e+03 
       3.616373025385e-05       9.259278074363e+03 
       4.913726151694e-05       1.245038395452e+04 
       6.222535674519e-05       1.564017162443e+04 
       7.546398425925e-05       1.884299468598e+04 
       8.889031306114e-05       2.207121776956e+04 
       1.025430482400e-04       2.533629190485e+04 
       1.164627848241e-04       2.864931039381e+04 
       1.306923843984e-04       3.202134738092e+04 
       1.452773788140e-04       3.546369251088e+04 
       1.602664052592e-04       3.898803712795e+04 
       1.757116767896e-04       4.260663438427e+04 
       1.916694920592e-04       4.633243889155e+04 
       2.082007873531e-04       5.017926044187e+04 
       2.253717329846e-04       5.416189083458e+04 
       2.432543744979e-04       5.829624940033e+04 
       2.619273167265e-04       6.259952570952e+04 
       2.814764453069e-04       6.709032312944e+04 
       3.019956754356e-04       7.178878753214e+04 
       3.235877111086e-04       7.671676347418e+04 
       3.463647893982e-04       8.189789586725e+04 
       3.704493731400e-04       8.735773661525e+04 
       3.959747414598e-04       9.312381835030e+04 
       4.230854108700e-04       9.922565489760e+04 
       4.519373007024e-04       1.056947013213e+05 
       4.826975366868e-04       1.125642069065e+05 
       5.155437679602e-04       1.198689390327e+05 
       5.506628596178e-04       1.276447883142e+05 
       5.882488207355e-04       1.359281539122e+05 
       6.284998437510e-04       1.447552020794e+05 
       6.716143729589e-04       1.541608308741e+05 
       7.177861941321e-04       1.641775291460e+05 
       7.671986460617e-04       1.748340220916e+05 
       8.200181922824e-04       1.861538458838e+05 
       8.763877404929e-04       1.981538778146e+05 
       9.364202297721e-04       2.108431073409e+05 
       1.000193085873e-03       2.242215372429e+05 
       1.067744139097e-03       2.382795453501e+05 
       1.139069488995e-03       2.529977522483e+05 
       1.214123592691e-03       2.683473449946e+05 
       1.292821585146e-03       2.842910533222e+05 
       1.375043566260e-03       3.007832323524e+05 
       1.460640369998e-03       3.177736797313e+05 
       1.549440206739e-03       3.352095532149e+05 
       1.641255555047e-03       3.530348671395e+05 
       1.735889757970e-03       3.711930206597e+05 
       1.833142917693e-03       3.896282812550e+05 
       1.932816842085e-03       4.082868273216e+05 
       2.034718945141e-03       4.271175642456e+05 
       2.138665120595e-03       4.460726856772e+05 
       2.244481687023e-03       4.651080273603e+05 
       2.352006545691e-03       4.841832557869e+05 
       2.461089706729e-03       5.032617830755e+05 
       2.571593333874e-03       5.223107311471e+05 
       2.683391441209e-03       5.413006424003e+05 
       2.796369353385e-03       5.602054169186e+05 
       2.910423018044e-03       5.790019039284e+05 
       3.025458238157e-03       5.976697834845e+05 
       3.141389873900e-03       6.161911365312e+05 
       3.258141048979e-03       6.345504057281e+05 
       3.375642384775e-03       6.527339603617e+05 
       3.493831276973e-03       6.707300500621e+05 
       3.612651222911e-03       6.885284484943e+05 
       3.732051203381e-03       7.061204907522e+05 
       3.851985119443e-03       7.234986691254e+05 
       3.972411282778e-03       7.406567697515e+05 
       4.093291956816e-03       7.575893639162e+05 
       4.214592945137e-03       7.742922301361e+05 
       4.336283223305e-03       7.907616091906e+05 
       4.458334610212e-03       8.069948273301e+05 
       4.580721475085e-03       8.229894919125e+05 
       4.703420476514e-03       8.387435639357e+05 
       4.826410330102e-03       8.542537014354e+05 
       4.949671601620e-03       8.695246333667e+05 
       5.073186522822e-03       8.845514676877e+05 
       5.196938827396e-03       8.993353104445e+05 
       5.320913604738e-03       9.138784426206e+05 
       5.445097169534e-03       9.281817160073e+05 
       5.569476945340e-03       9.422422465572e+05 
       5.694041360547e-03       9.560198142462e+05 
       5.818779755339e-03       9.696000716416e+05 
       5.943682298366e-03       9.829419138047e+05 
       6.068739912061e-03       9.960439154618e+05 
       6.193944205599e-03       1.008915292987e+06 
       6.319287414666e-03       1.021561575764e+06 
       6.444762347267e-03       1.033986450016e+06 
       6.570362334913e-03       1.046152038983e+06 
       6.696081188603e-03       1.058094510756e+06 
       6.821913159065e-03       1.069808018140e+06 
       6.947852900830e-03       1.081301914873e+06 
       7.073895439691e-03       1.092573690153e+06 
       7.200036143231e-03       1.103622537901e+06 
       7.326270694071e-03       1.114453091285e+06 
       7.452595065570e-03       1.125058459605e+06 
       7.579005499726e-03       1.135460481945e+06 
       7.705498487058e-03       1.145678330523e+06 
       7.832070748261e-03       1.155655714636e+06 
       7.958719217469e-03       1.165423626181e+06 
       8.085441026969e-03       1.174985389139e+06 
       8.212233493217e-03       1.184346262527e+06 
       8.339094104040e-03       1.193504220029e+06 
       8.466020506906e-03       1.202461990409e+06 
       8.593010498167e-03       1.211222353897e+06 
       8.720062013184e-03       1.219787573232e+06 
       8.847173117248e-03       1.228159512534e+06 
       8.974341997231e-03       1.236337714085e+06 
       9.101566953904e-03       1.244328734800e+06 
       9.228846394849e-03       1.252132817278e+06 
       9.356178827935e-03       1.259751352558e+06 
       9.483562855287e-03       1.267187826262e+06 
       9.610997167722e-03       1.274443659762e+06 
       9.738480539603e-03       1.281522449227e+06 
       9.866011824080e-03       1.288418437494e+06 
       9.993589948689e-03       1.295146780953e+06 
       1.012121391127e-02       1.301694132995e+06 
       1.024888277620e-02       1.308073606390e+06 
       1.037659567085e-02       1.314288813470e+06 
       1.050435178240e-02       1.320331809801e+06 
       1.063215035476e-02       1.326206414107e+06 
       1.075999068579e-02       1.331924991633e+06 
       1.088787212472e-02       1.337472404752e+06 
       1.101579406970e-02       1.342867517887e+06 
       1.114375596555e-02       1.348102940171e+06 
       1.127175730171e-02       1.353182569030e+06 
       1.139979761025e-02       1.358107332745e+06 
       1.152787646409e-02       1.362879109766e+06 
       1.165599347531e-02       1.367500617328e+06 
       1.178414829358e-02       1.371973392898e+06 
       1.191234060471e-02       1.376298538321e+06 
       1.204057012930e-02       1.380477279943e+06 
       1.216883662147e-02       1.384511526871e+06 
       1.229713986770e-02       1.388405786913e+06 
       1.242547968574e-02       1.392157463955e+06 
       1.255385592360e-02       1.395772889761e+06 
       1.268226845859e-02       1.399249706295e+06 
       1.281071719650e-02       1.402593441742e+06 
       1.293920207075e-02       1.405799722842e+06 
       1.306772304166e-02       1.408875669610e+06 
       1.319628009576e-02       1.411822079351e+06 
       1.332487324514e-02       1.414634733419e+06 
       1.345350252690e-02       1.417324658428e+06 
       1.358216800256e-02       1.419889386901e+06 
       1.371086975761e-02       1.422324998796e+06 
       1.383960790101e-02       1.424636730045e+06 
       1.396838256483e-02       1.426826968354e+06 
       1.409719390384e-02       1.428899772438e+06 
       1.422604209517e-02       1.430855612695e+06 
       1.435492733802e-02       1.432696178146e+06 
       1.448384985339e-02       1.434411220084e+06 
       1.461280988382e-02       1.436019161364e+06 
       1.474180769318e-02       1.437514879206e+06 
       1.487084356650e-02       1.438898457148e+06 
       1.499991780983e-02       1.440169557881e+06 
       1.512903075006e-02       1.441334269310e+06 
       1.525818273484e-02       1.442397302830e+06 
       1.538737413253e-02       1.443345010466e+06 
       1.551660533208e-02       1.444191096448e+06 
       1.564587674306e-02       1.444936432791e+06 
       1.577518879559e-02       1.445577140614e+06 
       1.590454194039e-02       1.446124431048e+06 
       1.603393664878e-02       1.446567491641e+06 
       1.616337341274e-02       1.446871331474e+06 
       1.629285274500e-02       1.447164729802e+06 
       1.642237517907e-02       1.447317083103e+06 
       1.655194126939e-02       1.447377406642e+06 
       1.668155159146e-02       1.447347126825e+06 
       1.681120674194e-02       1.447225838709e+06 
       1.694090733885e-02       1.447019145674e+06 
       1.707065402172e-02       1.446714683756e+06 
       1.720044745181e-02       1.446325121565e+06 
       1.733028831227e-02       1.445849497065e+06 
       1.746017730845e-02       1.445291541792e+06 
       1.759011516805e-02       1.444649137100e+06 
       1.772010264146e-02       1.443863503272e+06 
       1.785014050199e-02       1.443118042298e+06 
       1.798022954618e-02       1.442181741765e+06 
       1.811037059412e-02       1.441266909256e+06 
       1.824056448975e-02       1.440175324728e+06 
       1.837081210124e-02       1.439053854952e+06 
       1.850111432132e-02       1.437899101882e+06 
       1.863147206769e-02       1.436595832296e+06 
       1.876188628337e-02       1.435286375278e+06 
       1.889235793715e-02       1.433834728346e+06 
       1.902288802400e-02       1.432380285111e+06 
       1.915347756555e-02       1.430790075775e+06 
       1.928412761048e-02       1.429150203836e+06 
       1.941483923509e-02       1.427445213739e+06 
       1.954561354375e-02       1.425754984646e+06 
       1.967645166942e-02       1.423925737208e+06 
       1.980735477421e-02       1.422026912655e+06 
       1.993832404991e-02       1.420045444666e+06 
       2.006936071861e-02       1.418032258784e+06 
       2.020046603324e-02       1.415942618476e+06 
       2.033164127822e-02       1.413859264703e+06 
       2.046288777012e-02       1.411662898201e+06 
       2.059420685826e-02       1.409408539918e+06 
       2.072559992545e-02       1.407038357821e+06 
       2.085706838865e-02       1.404665639929e+06 
       2.098861369972e-02       1.402301997713e+06 
       2.112023734617e-02       1.399783375541e+06 
       2.125194085192e-02       1.397241889623e+06 
       2.138372577811e-02       1.394661278451e+06 
       2.151559372392e-02       1.392027784471e+06 
       2.164754632740e-02       1.389345956336e+06 
       2.177958526640e-02       1.386620676206e+06 
       2.191171225941e-02       1.383838404479e+06 
       2.204392906655e-02       1.381006438109e+06 
       2.217623749047e-02       1.378123990911e+06 
       2.230863937740e-02       1.375209027444e+06 
       2.244113661815e-02       1.372242673833e+06 
       2.257373114915e-02       1.369225545814e+06 
       2.270642495357e-02       1.366176774988e+06 
       2.283922006239e-02       1.363108411821e+06 
       2.297211855563e-02       1.359948220379e+06 
       2.310512256347e-02       1.356811250377e+06 
       2.323823426753e-02       1.353552996705e+06 
       2.337145590214e-02       1.350303917713e+06 
       2.350478975560e-02       1.346998172698e+06 
       2.363823817159e-02       1.343681243238e+06 
       2.377180355052e-02       1.340312566608e+06 
       2.390548835100e-02       1.336905403259e+06 
       2.403929509132e-02       1.333472882275e+06 
       2.417322635095e-02       1.329995462671e+06 
       2.430728477217e-02       1.326536189880e+06 
       2.444147306165e-02       1.322965130921e+06 
       2.457579399219e-02       1.319389080363e+06 
       2.471025040442e-02       1.315824159453e+06 
       2.484484520861e-02       1.312182238085e+06 
       2.497958138653e-02       1.308519086050e+06 
       2.511446199337e-02       1.304817739329e+06 
       2.524949015970e-02       1.301110026886e+06 
       2.538466909356e-02       1.297399339297e+06 
       2.552000208254e-02       1.293603364531e+06 
       2.565549249596e-02       1.289813441892e+06 
       2.579114378719e-02       1.285996107890e+06 
       2.592695949593e-02       1.282157121579e+06 
       2.606294325065e-02       1.278278364431e+06 
       2.619909877110e-02       1.274426711177e+06 
       2.633542987090e-02       1.270486266927e+06 
       2.647194046021e-02       1.266549952536e+06 
       2.660863454854e-02       1.262621551651e+06 
       2.674551624756e-02       1.258624347375e+06 
       2.688258977414e-02       1.254653537943e+06 
       2.701985945341e-02       1.250617872288e+06 
       2.715732972196e-02       1.246605712682e+06 
       2.729500513111e-02       1.242557739402e+06 
       2.743289035043e-02       1.238479335616e+06 
       2.757099017121e-02       1.234391110911e+06 
       2.770930951021e-02       1.230292270608e+06 
       2.784785341348e-02       1.226190275999e+06 
       2.798662706029e-02       1.222051961120e+06 
       2.812563576733e-02       1.217903932458e+06 
       2.826488499293e-02       1.213749136275e+06 
       2.840438034155e-02       1.209577441064e+06 
