# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.972100324700e-11       5.966069706923e-16       5.023695234461e-14       0.000000000000e+00       1.175933422489e-09       6.473704970104e-11      -2.629652363277e-13 
    3       1.865073378736e-11       7.643212711969e-16       5.645357534154e-14       0.000000000000e+00       7.233794190146e-10       4.592146787847e-11      -1.991112763001e-13 
    4       1.764179153964e-11       6.607909757268e-16       5.278703684806e-14       0.000000000000e+00       5.030512349705e-10       3.478418303657e-11      -1.302899922660e-13 
    5       1.688635133757e-11       4.405637868332e-16       4.494652063711e-14       0.000000000000e+00       3.756585296711e-10       2.748182466690e-11      -7.236615250915e-14 
    6       1.636825982770e-11       2.461993006209e-16       3.619494840535e-14       0.000000000000e+00       2.935866999019e-10       2.236377483143e-11      -2.971023995992e-14 
    7       1.603059728293e-11       1.329899996857e-16       2.841621465837e-14       0.000000000000e+00       2.369846955252e-10       1.860673657719e-11      -2.522826090761e-15 
    8       1.583342639341e-11       8.581177611613e-17       2.243377957643e-14       0.000000000000e+00       1.959657362625e-10       1.575676017640e-11       1.133368021688e-14 
    9       1.574131766112e-11       6.886917910800e-17       1.842953622043e-14       0.000000000000e+00       1.650830704375e-10       1.354527497824e-11       1.519309120200e-14 
   10       1.572135826066e-11       5.863773313759e-17       1.621390156375e-14       0.000000000000e+00       1.411331348446e-10       1.179373850676e-11       1.274553281011e-14 
   11       1.576514113145e-11       4.920123975620e-17       1.540708313296e-14       0.000000000000e+00       1.189503732953e-10       1.042069061697e-11       7.429683835089e-15 
   12       1.585104548842e-11       4.279217559876e-17       1.557244675688e-14       0.000000000000e+00       1.039589805993e-10       9.214248062119e-12       1.754896032353e-15 
   13       1.597186332360e-11       4.098174038458e-17       1.632702461240e-14       0.000000000000e+00       9.164957231511e-11       8.234594849163e-12      -2.566201873452e-15 
   14       1.612085339041e-11       4.263316797357e-17       1.738234302692e-14       0.000000000000e+00       8.140611321030e-11       7.381553770122e-12      -4.925552561456e-15 
   15       1.629610125794e-11       4.606996308080e-17       1.855438958489e-14       0.000000000000e+00       7.278200878425e-11       6.664051856609e-12      -5.352506524758e-15 
   16       1.648685432741e-11       5.093064597855e-17       1.974856260517e-14       0.000000000000e+00       6.544810213017e-11       6.045551616845e-12      -4.412353459533e-15 
   17       1.669708844114e-11       5.800489494156e-17       2.093319542344e-14       0.000000000000e+00       5.915569022733e-11       5.505711309092e-12      -2.846736865870e-15 
   18       1.691774970263e-11       6.806762488381e-17       2.214549968155e-14       0.000000000000e+00       5.369325288502e-11       5.034855867685e-12      -1.353075684591e-15 
   19       1.715044148343e-11       8.116581925561e-17       2.341732700534e-14       0.000000000000e+00       4.897447954936e-11       4.626232715070e-12      -3.027017926329e-16 
   20       1.739414618638e-11       9.701437204130e-17       2.476867209701e-14       0.000000000000e+00       4.481773265412e-11       4.263355588587e-12       6.046846503970e-17 
   21       1.764907859424e-11       1.155214676569e-16       2.619269452845e-14       0.000000000000e+00       4.115792491307e-11       3.939710765444e-12      -1.831416566535e-16 
   22       1.791151713097e-11       1.366168587434e-16       2.766260802549e-14       0.000000000000e+00       3.790771202735e-11       3.647295990245e-12      -7.846540792893e-16 
   23       1.818215639801e-11       1.603292051191e-16       2.913169840223e-14       0.000000000000e+00       3.502255849355e-11       3.384934432064e-12      -1.494508219644e-15 
   24       1.846008808695e-11       1.866917422607e-16       3.054079435305e-14       0.000000000000e+00       3.243591510859e-11       3.150291269932e-12      -2.046491480343e-15 
   25       1.874559110795e-11       2.157160397539e-16       3.184879394886e-14       0.000000000000e+00       3.011745379138e-11       2.940387683374e-12      -2.321776525977e-15 
   26       1.903706038790e-11       2.474404713020e-16       3.302048411387e-14       0.000000000000e+00       2.802530297617e-11       2.749986677370e-12      -2.272830438468e-15 
   27       1.933377751345e-11       2.821532425662e-16       3.403922524930e-14       0.000000000000e+00       2.613443094817e-11       2.576628111798e-12      -1.988473719719e-15 
   28       1.963406674111e-11       3.202168395440e-16       3.489862130714e-14       0.000000000000e+00       2.441230507604e-11       2.417629557872e-12      -1.613273084569e-15 
   29       1.993923590125e-11       3.618320296380e-16       3.560874359385e-14       0.000000000000e+00       2.285017875779e-11       2.272716341855e-12      -1.241637978616e-15 
   30       2.024992184155e-11       4.071461183265e-16       3.619050760206e-14       0.000000000000e+00       2.143132991244e-11       2.141068900903e-12      -9.691029720858e-16 
   31       2.056526740507e-11       4.563015287388e-16       3.666512090048e-14       0.000000000000e+00       2.012687852445e-11       2.020626336953e-12      -8.837687317116e-16 
   32       2.088570302767e-11       5.094496939944e-16       3.702443097876e-14       0.000000000000e+00       1.893011685547e-11       1.910178894713e-12      -9.593933481831e-16 
   33       2.121082515760e-11       5.667411995221e-16       3.724929054188e-14       0.000000000000e+00       1.783260443584e-11       1.807809896190e-12      -1.120356114115e-15 
   34       2.153924502402e-11       6.283144655087e-16       3.731841560688e-14       0.000000000000e+00       1.681901026605e-11       1.711127930632e-12      -1.282396284325e-15 
   35       2.187127570072e-11       6.942709915025e-16       3.721363161917e-14       0.000000000000e+00       1.588416571019e-11       1.620410918896e-12      -1.404646843763e-15 
   36       2.220693784503e-11       7.646895656649e-16       3.691613130180e-14       0.000000000000e+00       1.502059125492e-11       1.536453902604e-12      -1.454572503893e-15 
   37       2.254564327254e-11       8.396447925518e-16       3.640881203045e-14       0.000000000000e+00       1.421707161409e-11       1.459626655656e-12      -1.406093291618e-15 
   38       2.288796819494e-11       9.192527020193e-16       3.568957739864e-14       0.000000000000e+00       1.347154399242e-11       1.389620932016e-12      -1.281377015677e-15 
   39       2.323430225303e-11       1.003639291127e-15       3.476252870465e-14       0.000000000000e+00       1.278165507199e-11       1.325543902713e-12      -1.123403157860e-15 
   40       2.358427012619e-11       1.092928123743e-15       3.363462398241e-14       0.000000000000e+00       1.214084024241e-11       1.265925984608e-12      -9.856461191760e-16 
