# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.636517608714e-11       9.322707594474e-16       6.800763100686e-14       0.000000000000e+00       3.536561203529e-09       1.917498171640e-10      -4.168149952284e-13 
    3       3.643238123690e-11       1.310667412085e-15       8.582314859831e-14       0.000000000000e+00       2.318292964170e-09       1.433774427169e-10      -3.462207678385e-13 
    4       3.628182689638e-11       1.204819464543e-15       8.714270188696e-14       0.000000000000e+00       1.685348371299e-09       1.132727675428e-10      -2.396607430166e-13 
    5       3.637581217584e-11       8.401264539763e-16       7.915253130038e-14       0.000000000000e+00       1.303493896288e-09       9.273369005158e-11      -1.369399635087e-13 
    6       3.677883255635e-11       4.878011678079e-16       6.731396008616e-14       0.000000000000e+00       1.049153382262e-09       7.782231593717e-11      -5.458516393706e-14 
    7       3.743504424054e-11       2.756684155696e-16       5.547605035635e-14       0.000000000000e+00       8.688231565947e-10       6.652249837802e-11       1.206451372796e-15 
    8       3.830988232810e-11       1.885604896123e-16       4.582299152646e-14       0.000000000000e+00       7.348568869060e-10       5.768847780289e-11       3.087295270961e-14 
    9       3.935841319666e-11       1.591711619908e-16       3.930688356960e-14       0.000000000000e+00       6.315994378013e-10       5.064204663121e-11       3.910077637370e-14 
   10       4.052537271119e-11       1.402764130379e-16       3.601646237561e-14       0.000000000000e+00       5.497234453278e-10       4.492608034529e-11       3.279929982405e-14 
   11       4.180978105013e-11       1.211015563802e-16       3.548750676062e-14       0.000000000000e+00       4.595815471898e-10       3.982219469125e-11       1.928592795363e-14 
   12       4.316477181141e-11       1.083832907955e-16       3.697770639876e-14       0.000000000000e+00       4.072707331914e-10       3.578306543171e-11       4.759143305165e-15 
   13       4.458914520120e-11       1.064849523302e-16       3.975119286525e-14       0.000000000000e+00       3.637072817042e-10       3.241193359687e-11      -6.536824950880e-15 
   14       4.606626960618e-11       1.127258211417e-16       4.320674652001e-14       0.000000000000e+00       3.269745558401e-10       2.946506037676e-11      -1.280012460964e-14 
   15       4.760305201481e-11       1.230541099296e-16       4.693957612171e-14       0.000000000000e+00       2.956652956194e-10       2.693569989049e-11      -1.392644173067e-14 
   16       4.916347139864e-11       1.369610773114e-16       5.073371162376e-14       0.000000000000e+00       2.687284342732e-10       2.471696836114e-11      -1.129861024585e-14 
   17       5.077378220663e-11       1.570705917693e-16       5.451572191629e-14       0.000000000000e+00       2.453611135835e-10       2.275236261027e-11      -6.892027402473e-15 
   18       5.240495506486e-11       1.859039906950e-16       5.840873235937e-14       0.000000000000e+00       2.248619705267e-10       2.101707409511e-11      -2.659995799326e-15 
   19       5.405974480276e-11       2.238371653512e-16       6.251037117719e-14       0.000000000000e+00       2.069782249055e-10       1.949266809829e-11       3.026655753876e-16 
   20       5.574261252703e-11       2.703205869438e-16       6.688591003672e-14       0.000000000000e+00       1.910753764112e-10       1.812223188779e-11       1.242352214117e-15 
   21       5.745436515341e-11       3.253525265269e-16       7.152183845875e-14       0.000000000000e+00       1.769442634042e-10       1.688656881245e-11       3.673326279689e-16 
   22       5.918551449757e-11       3.890003390293e-16       7.634818573651e-14       0.000000000000e+00       1.642866487884e-10       1.576102190672e-11      -1.610366905856e-15 
   23       6.093838672411e-11       4.615511284970e-16       8.122789748966e-14       0.000000000000e+00       1.529557618855e-10       1.474293095884e-11      -3.924969783946e-15 
   24       6.271245164099e-11       5.432826338387e-16       8.598375925259e-14       0.000000000000e+00       1.427161561186e-10       1.382396726898e-11      -5.740195123532e-15 
   25       6.450816289937e-11       6.343987469318e-16       9.048228042953e-14       0.000000000000e+00       1.334662672756e-10       1.299400517486e-11      -6.666836473046e-15 
   26       6.632114801229e-11       7.351939283656e-16       9.460315954422e-14       0.000000000000e+00       1.250572069759e-10       1.223436460440e-11      -6.537037669790e-15 
   27       6.814880939776e-11       8.467776450052e-16       9.827963955701e-14       0.000000000000e+00       1.174019113962e-10       1.153629523925e-11      -5.633320553395e-15 
   28       6.998656480934e-11       9.705052867674e-16       1.014761053983e-13       0.000000000000e+00       1.103821218373e-10       1.088998395434e-11      -4.423796539073e-15 
   29       7.183812872714e-11       1.107212178489e-15       1.042153261103e-13       0.000000000000e+00       1.039706689041e-10       1.029545030702e-11      -3.224892172404e-15 
   30       7.370643131179e-11       1.257564167997e-15       1.065570090938e-13       0.000000000000e+00       9.810751592036e-11       9.750792331450e-12      -2.363025507990e-15 
   31       7.559100716077e-11       1.422221916304e-15       1.085617221896e-13       0.000000000000e+00       9.268378205625e-11       9.249191079725e-12      -2.139534232762e-15 
   32       7.749284418559e-11       1.601911138252e-15       1.101926923852e-13       0.000000000000e+00       8.767727986402e-11       8.786444034042e-12      -2.464611247606e-15 
   33       7.941041839061e-11       1.797374876737e-15       1.113768432939e-13       0.000000000000e+00       8.305780902039e-11       8.355244071408e-12      -3.079833962043e-15 
   34       8.133990650232e-11       2.009320125577e-15       1.120337913411e-13       0.000000000000e+00       7.876696234170e-11       7.946291439352e-12      -3.696461506250e-15 
   35       8.328207183039e-11       2.238301659098e-15       1.120915965629e-13       0.000000000000e+00       7.478671360117e-11       7.560800729249e-12      -4.169272211620e-15 
   36       8.523717277423e-11       2.484790437485e-15       1.114755788256e-13       0.000000000000e+00       7.108907417636e-11       7.201913115151e-12      -4.379254018741e-15 
   37       8.720403852667e-11       2.749248050730e-15       1.101171681432e-13       0.000000000000e+00       6.763049916334e-11       6.871036387010e-12      -4.231083464885e-15 
   38       8.918418572103e-11       3.032294374422e-15       1.080000279022e-13       0.000000000000e+00       6.440454709369e-11       6.567197255451e-12      -3.805958505598e-15 
   39       9.117864978465e-11       3.334591438641e-15       1.051296851317e-13       0.000000000000e+00       6.140319824517e-11       6.287157214430e-12      -3.261282484896e-15 
   40       9.318661785386e-11       3.656797473784e-15       1.015220765171e-13       0.000000000000e+00       5.860076053210e-11       6.025339585647e-12      -2.792948628896e-15 
   41       9.520642579401e-11       3.999545260286e-15       9.719286325344e-14       0.000000000000e+00       5.596336162580e-11       5.775581508451e-12      -2.583529305810e-15 
   42       9.723943775480e-11       4.363370737762e-15       9.211951795465e-14       0.000000000000e+00       5.348489066126e-11       5.537538129967e-12      -2.620583191516e-15 
