# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       1.236958096357e+02 
       2.326967407118e-05       2.480356358493e+02 
       3.616373025385e-05       3.633619966303e+02 
       4.913726151694e-05       4.738395947741e+02 
       6.222535674519e-05       5.813457117371e+02 
       7.546398425925e-05       6.870141008050e+02 
       8.889031306114e-05       7.916451412899e+02 
       1.025430482400e-04       8.958640929957e+02 
       1.164627848241e-04       1.000196093601e+03 
       1.306923843984e-04       1.105106853500e+03 
       1.452773788140e-04       1.211027071612e+03 
       1.602664052592e-04       1.318368505931e+03 
       1.757116767896e-04       1.427535330385e+03 
       1.916694920592e-04       1.538932462422e+03 
       2.082007873531e-04       1.652972840552e+03 
       2.253717329846e-04       1.770082756940e+03 
       2.432543744979e-04       1.890707064773e+03 
       2.619273167265e-04       2.015313721038e+03 
       2.814764453069e-04       2.144397914521e+03 
       3.019956754356e-04       2.278485370370e+03 
       3.235877111086e-04       2.418136257572e+03 
       3.463647893982e-04       2.563947148622e+03 
       3.704493731400e-04       2.716553016392e+03 
       3.959747414598e-04       2.876628143190e+03 
       4.230854108700e-04       3.044884808067e+03 
       4.519373007024e-04       3.222070921285e+03 
       4.826975366868e-04       3.408964714196e+03 
       5.155437679602e-04       3.606366047091e+03 
       5.506628596178e-04       3.815084901356e+03 
       5.882488207355e-04       4.035924288087e+03 
       6.284998437510e-04       4.269660669610e+03 
       6.716143729589e-04       4.517017182120e+03 
       7.177861941321e-04       4.778635483357e+03 
       7.671986460617e-04       5.055043117781e+03 
       8.200181922824e-04       5.346620542596e+03 
       8.763877404929e-04       5.653568320723e+03 
       9.364202297721e-04       5.975882198737e+03 
       1.000193085873e-03       6.313332161067e+03 
       1.067744139097e-03       6.665454091126e+03 
       1.139069488995e-03       7.031554369876e+03 
       1.214123592691e-03       7.410725234106e+03 
       1.292821585146e-03       7.801875784545e+03 
       1.375043566260e-03       8.203735972929e+03 
       1.460640369998e-03       8.614960517731e+03 
       1.549440206739e-03       9.034177173026e+03 
       1.641255555047e-03       9.459968224886e+03 
       1.735889757970e-03       9.890933594747e+03 
       1.833142917693e-03       1.032572462091e+04 
       1.932816842085e-03       1.076306583194e+04 
       2.034718945141e-03       1.120177091286e+04 
       2.138665120595e-03       1.164075236853e+04 
       2.244481687023e-03       1.207902630015e+04 
       2.352006545691e-03       1.251571347541e+04 
       2.461089706729e-03       1.295003392030e+04 
       2.571593333874e-03       1.338130340715e+04 
       2.683391441209e-03       1.380892395102e+04 
       2.796369353385e-03       1.423238059545e+04 
       2.910423018044e-03       1.465122974502e+04 
       3.025458238157e-03       1.506509524756e+04 
       3.141389873900e-03       1.547365684662e+04 
       3.258141048979e-03       1.587664873783e+04 
       3.375642384775e-03       1.627384832417e+04 
       3.493831276973e-03       1.666507488809e+04 
       3.612651222911e-03       1.705018061548e+04 
       3.732051203381e-03       1.742905150893e+04 
       3.851985119443e-03       1.780159740208e+04 
       3.972411282778e-03       1.816775541142e+04 
       4.093291956816e-03       1.852747751963e+04 
       4.214592945137e-03       1.888074105484e+04 
       4.336283223305e-03       1.922753058594e+04 
       4.458334610212e-03       1.956785327916e+04 
       4.580721475085e-03       1.990171945429e+04 
       4.703420476514e-03       2.022914458546e+04 
       4.826410330102e-03       2.055010964756e+04 
       4.949671601620e-03       2.086478672304e+04 
       5.073186522822e-03       2.117311336463e+04 
       5.196938827396e-03       2.147516865666e+04 
