# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.457195993193e-10       4.408362375459e-15       3.712036591136e-13       0.000000000000e+00       8.689038027375e-09       4.783456919202e-10      -1.943064883294e-12 
    3       1.378113182410e-10       5.647612750480e-15       4.171386351839e-13       0.000000000000e+00       5.345091107910e-09       3.393163022993e-10      -1.471244390511e-12 
    4       1.303561873721e-10       4.882621589312e-15       3.900463765667e-13       0.000000000000e+00       3.717073795833e-09       2.570222798127e-10      -9.627200619826e-13 
    5       1.247741973396e-10       3.255350536068e-15       3.321123624393e-13       0.000000000000e+00       2.775761949782e-09       2.030647441647e-10      -5.347175605539e-13 
    6       1.209459901088e-10       1.819180443805e-15       2.674465042651e-13       0.000000000000e+00       2.169328595475e-09       1.652471868133e-10      -2.195306297766e-13 
    7       1.184509826229e-10       9.826705682747e-16       2.099690042299e-13       0.000000000000e+00       1.751093209824e-09       1.374862203869e-10      -1.864130351248e-14 
    8       1.169940758592e-10       6.340680276710e-16       1.657644558013e-13       0.000000000000e+00       1.448001818712e-09       1.164275848808e-10       8.374519892990e-14 
    9       1.163134792691e-10       5.088782279163e-16       1.361768770100e-13       0.000000000000e+00       1.219808068446e-09       1.000867966897e-10       1.122626032078e-13 
   10       1.161659981394e-10       4.332774996678e-16       1.198054282371e-13       0.000000000000e+00       1.042840650785e-09       8.714459544258e-11       9.417745694468e-14 
   11       1.164895122278e-10       3.635507206955e-16       1.138438015904e-13       0.000000000000e+00       8.789309812677e-10       7.699906755841e-11       5.489835065479e-14 
   12       1.171242643406e-10       3.161937860946e-16       1.150656826842e-13       0.000000000000e+00       7.681587396359e-10       6.808459584046e-11       1.296702523085e-14 
   13       1.180169941025e-10       3.028163787335e-16       1.206413007896e-13       0.000000000000e+00       6.772038312793e-10       6.084588329243e-11      -1.896180960412e-14 
   14       1.191178900644e-10       3.150188698318e-16       1.284391077568e-13       0.000000000000e+00       6.015143373068e-10       5.454271490470e-11      -3.639518419483e-14 
   15       1.204128063887e-10       3.404135416797e-16       1.370994255242e-13       0.000000000000e+00       5.377903458997e-10       4.924105301466e-11      -3.954997098133e-14 
   16       1.218222915201e-10       3.763294002903e-16       1.459232369628e-13       0.000000000000e+00       4.835996982084e-10       4.467092004585e-11      -3.260312724080e-14 
   17       1.233757231804e-10       4.286014227358e-16       1.546765553137e-13       0.000000000000e+00       4.371047136607e-10       4.068200972740e-11      -2.103469840081e-14 
   18       1.250062016204e-10       5.029554987874e-16       1.636343394858e-13       0.000000000000e+00       3.967424577015e-10       3.720283245636e-11      -9.997952139541e-15 
   19       1.267255742425e-10       5.997387917953e-16       1.730319429295e-13       0.000000000000e+00       3.618751768061e-10       3.418349305836e-11      -2.236680527012e-15 
   20       1.285263219642e-10       7.168446374157e-16       1.830171076208e-13       0.000000000000e+00       3.311607408082e-10       3.150217361376e-11       4.468048803945e-16 
   21       1.304100318273e-10       8.535946051474e-16       1.935392892529e-13       0.000000000000e+00       3.041182160982e-10       2.911074385943e-11      -1.353243975064e-15 
   22       1.323492048977e-10       1.009469633314e-15       2.044005625431e-13       0.000000000000e+00       2.801022107522e-10       2.695007468133e-11      -5.797853010123e-15 
   23       1.343489736244e-10       1.184681490922e-15       2.152557537512e-13       0.000000000000e+00       2.587836494369e-10       2.501147040972e-11      -1.104300507526e-14 
   24       1.364026264657e-10       1.379475756771e-15       2.256676427806e-13       0.000000000000e+00       2.396707963575e-10       2.327767892150e-11      -1.512164035424e-14 
   25       1.385122243042e-10       1.593937919181e-15       2.353325251714e-13       0.000000000000e+00       2.225395556215e-10       2.172668954506e-11      -1.715573699962e-14 
   26       1.406659071649e-10       1.828351523596e-15       2.439902095312e-13       0.000000000000e+00       2.070805358805e-10       2.031980583040e-11      -1.679407161320e-14 
   27       1.428583666512e-10       2.084846137817e-15       2.515177449312e-13       0.000000000000e+00       1.931087763896e-10       1.903884966416e-11      -1.469294386625e-14 
   28       1.450772206002e-10       2.366100191213e-15       2.578678706138e-13       0.000000000000e+00       1.803838917111e-10       1.786400042955e-11      -1.192056532477e-14 
   29       1.473321326442e-10       2.673597165385e-15       2.631150040274e-13       0.000000000000e+00       1.688412527119e-10       1.679322854693e-11      -9.174532678554e-15 
   30       1.496278084862e-10       3.008425508777e-15       2.674136909204e-13       0.000000000000e+00       1.583572989977e-10       1.582047822045e-11      -7.160756226382e-15 
   31       1.519579145455e-10       3.371637593879e-15       2.709206352077e-13       0.000000000000e+00       1.487186345135e-10       1.493052135872e-11      -6.530216737098e-15 
   32       1.543256313371e-10       3.764352368508e-15       2.735755975331e-13       0.000000000000e+00       1.398756954044e-10       1.411441901203e-11      -7.089011270666e-15 
   33       1.567279769941e-10       4.187682516844e-15       2.752370974593e-13       0.000000000000e+00       1.317661145665e-10       1.335800873915e-11      -8.278374177979e-15 
   34       1.591546898111e-10       4.642650833413e-15       2.757478664425e-13       0.000000000000e+00       1.242766103844e-10       1.264362027188e-11      -9.475698085938e-15 
   35       1.616080831078e-10       5.130007304072e-15       2.749736116790e-13       0.000000000000e+00       1.173689915173e-10       1.197330718304e-11      -1.037901432775e-14 
   36       1.640883095224e-10       5.650334098965e-15       2.727753651445e-13       0.000000000000e+00       1.109879914217e-10       1.135294407976e-11      -1.074791783122e-14 
   37       1.665910229273e-10       6.204182475340e-15       2.690267545884e-13       0.000000000000e+00       1.050507397190e-10       1.078526324213e-11      -1.038970221210e-14 
   38       1.691204809830e-10       6.792409784314e-15       2.637122895457e-13       0.000000000000e+00       9.954199429919e-11       1.026798702291e-11      -9.468166652721e-15 
   39       1.716795627672e-10       7.415947025231e-15       2.568622747394e-13       0.000000000000e+00       9.444436636413e-11       9.794518258741e-12      -8.300888955141e-15 
   40       1.742654950147e-10       8.075707218436e-15       2.485281234724e-13       0.000000000000e+00       8.970934963931e-11       9.353998117361e-12      -7.282994468285e-15 
   41       1.768727781689e-10       8.772545200903e-15       2.387608168725e-13       0.000000000000e+00       8.527423942593e-11       8.934612760538e-12      -6.782990003120e-15 
   42       1.795045499662e-10       9.507123955531e-15       2.275348044605e-13       0.000000000000e+00       8.112604047669e-11       8.535637457608e-12      -6.777454546664e-15 
   43       1.821639129523e-10       1.028000288892e-14       2.148014616921e-13       0.000000000000e+00       7.725379353977e-11       8.158732437979e-12      -7.105849909932e-15 
   44       1.848503786366e-10       1.109166942984e-14       2.005094623546e-13       0.000000000000e+00       7.362939658310e-11       7.804537255969e-12      -7.566970484224e-15 
   45       1.875615439646e-10       1.194256744783e-14       1.846075993350e-13       0.000000000000e+00       7.021765507800e-11       7.472810269903e-12      -7.964252945256e-15 
   46       1.902995599752e-10       1.283320162580e-14       1.670549702398e-13       0.000000000000e+00       6.701323245478e-11       7.163118247207e-12      -8.263765147192e-15 
   47       1.930659895322e-10       1.376405780450e-14       1.478133188086e-13       0.000000000000e+00       6.401242446495e-11       6.874193076052e-12      -8.479186003266e-15 
