# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       5.097726346501e+01 
       2.326967407118e-05       1.107708492731e+02 
       3.616373025385e-05       1.695895935804e+02 
       4.913726151694e-05       2.280367365371e+02 
       6.222535674519e-05       2.864597356309e+02 
       7.546398425925e-05       3.451214862507e+02 
       8.889031306114e-05       4.042484545018e+02 
       1.025430482400e-04       4.640503733088e+02 
       1.164627848241e-04       5.247304235843e+02 
       1.306923843984e-04       5.864914353597e+02 
       1.452773788140e-04       6.495401856903e+02 
       1.602664052592e-04       7.140908090160e+02 
       1.757116767896e-04       7.803677296466e+02 
       1.916694920592e-04       8.486082195720e+02 
       2.082007873531e-04       9.190652139571e+02 
       2.253717329846e-04       9.920096340572e+02 
       2.432543744979e-04       1.067733052584e+03 
       2.619273167265e-04       1.146550307502e+03 
       2.814764453069e-04       1.228802131367e+03 
       3.019956754356e-04       1.314857508699e+03 
       3.235877111086e-04       1.405116536505e+03 
       3.463647893982e-04       1.500012286452e+03 
       3.704493731400e-04       1.600012757982e+03 
       3.959747414598e-04       1.705622228844e+03 
       4.230854108700e-04       1.817381263603e+03 
       4.519373007024e-04       1.935865981854e+03 
       4.826975366868e-04       2.061685365497e+03 
       5.155437679602e-04       2.195476201299e+03 
       5.506628596178e-04       2.337895848792e+03 
       5.882488207355e-04       2.489610981869e+03 
       6.284998437510e-04       2.651284008551e+03 
       6.716143729589e-04       2.823554109077e+03 
       7.177861941321e-04       3.007016337483e+03 
       7.671986460617e-04       3.202196814095e+03 
       8.200181922824e-04       3.409526618957e+03 
       8.763877404929e-04       3.629314870454e+03 
       9.364202297721e-04       3.861726216234e+03 
       1.000193085873e-03       4.106760707219e+03 
       1.067744139097e-03       4.364242107204e+03 
       1.139069488995e-03       4.633815469841e+03 
       1.214123592691e-03       4.914953067672e+03 
       1.292821585146e-03       5.206972271948e+03 
       1.375043566260e-03       5.509037067553e+03 
       1.460640369998e-03       5.820227966303e+03 
       1.549440206739e-03       6.139577128739e+03 
       1.641255555047e-03       6.466059141660e+03 
       1.735889757970e-03       6.798637324422e+03 
       1.833142917693e-03       7.136290900304e+03 
       1.932816842085e-03       7.478034092250e+03 
       2.034718945141e-03       7.822931069759e+03 
       2.138665120595e-03       8.170106228992e+03 
       2.244481687023e-03       8.518750673382e+03 
       2.352006545691e-03       8.868125668964e+03 
       2.461089706729e-03       9.217561085312e+03 
       2.571593333874e-03       9.566454739401e+03 
       2.683391441209e-03       9.914267096444e+03 
       2.796369353385e-03       1.026052011979e+04 
       2.910423018044e-03       1.060478978824e+04 
       3.025458238157e-03       1.094670392901e+04 
       3.141389873900e-03       1.128593434315e+04 
       3.258141048979e-03       1.162219608802e+04 
       3.375642384775e-03       1.195523950840e+04 
       3.493831276973e-03       1.228484938876e+04 
       3.612651222911e-03       1.261083842724e+04 
       3.732051203381e-03       1.293304792055e+04 
       3.851985119443e-03       1.325134036018e+04 
       3.972411282778e-03       1.356560193526e+04 
       4.093291956816e-03       1.387573321543e+04 
       4.214592945137e-03       1.418165688152e+04 
       4.336283223305e-03       1.448330408101e+04 
       4.458334610212e-03       1.478062584245e+04 
       4.580721475085e-03       1.507357834309e+04 
       4.703420476514e-03       1.536212423730e+04 
       4.826410330102e-03       1.564620231486e+04 
       4.949671601620e-03       1.592589918960e+04 
       5.073186522822e-03       1.620112526067e+04 
       5.196938827396e-03       1.647190078599e+04 
       5.320913604738e-03       1.673826754324e+04 
       5.445097169534e-03       1.700024113352e+04 
       5.569476945340e-03       1.725776873365e+04 
       5.694041360547e-03       1.751011368821e+04 
       5.818779755339e-03       1.775884477868e+04 
       5.943682298366e-03       1.800320914185e+04 
       6.068739912061e-03       1.824318067292e+04 
       6.193944205599e-03       1.847892817568e+04 
       6.319287414666e-03       1.871055292430e+04 
       6.444762347267e-03       1.893812243434e+04 
       6.570362334913e-03       1.916094296872e+04 
       6.696081188603e-03       1.937967696915e+04 
       6.821913159065e-03       1.959421734053e+04 
       6.947852900830e-03       1.980473540251e+04 
       7.073895439691e-03       2.001118516817e+04 
       7.200036143231e-03       2.021355187367e+04 
       7.326270694071e-03       2.041192037842e+04 
       7.452595065570e-03       2.060616447483e+04 
       7.579005499726e-03       2.079668415973e+04 
       7.705498487058e-03       2.098383058451e+04 
       7.832070748261e-03       2.116657274898e+04 
       7.958719217469e-03       2.134547828953e+04 
       8.085441026969e-03       2.152060808701e+04 
       8.212233493217e-03       2.169205846366e+04 
       8.339094104040e-03       2.185979230623e+04 
       8.466020506906e-03       2.202385959376e+04 
       8.593010498167e-03       2.218431124793e+04 
       8.720062013184e-03       2.234118871229e+04 
       8.847173117248e-03       2.249452612934e+04 
       8.974341997231e-03       2.264431511570e+04 
       9.101566953904e-03       2.279067576548e+04 
       9.228846394849e-03       2.293361252200e+04 
       9.356178827935e-03       2.307315086304e+04 
       9.483562855287e-03       2.320935463001e+04 
       9.610997167722e-03       2.334224985623e+04 
       9.738480539603e-03       2.347190240785e+04 
       9.866011824080e-03       2.359820683872e+04 
       9.993589948689e-03       2.372144074784e+04 
       1.012121391127e-02       2.384135968351e+04 
       1.024888277620e-02       2.395820381453e+04 
       1.037659567085e-02       2.407203930302e+04 
       1.050435178240e-02       2.418272064162e+04 
       1.063215035476e-02       2.429031777271e+04 
       1.075999068579e-02       2.439505717364e+04 
       1.088787212472e-02       2.449666158908e+04 
       1.101579406970e-02       2.459547653302e+04 
       1.114375596555e-02       2.469136663702e+04 
       1.127175730171e-02       2.478440328487e+04 
       1.139979761025e-02       2.487460347870e+04 
       1.152787646409e-02       2.496200162348e+04 
       1.165599347531e-02       2.504664748711e+04 
       1.178414829358e-02       2.512856922927e+04 
       1.191234060471e-02       2.520778703099e+04 
       1.204057012930e-02       2.528432335354e+04 
       1.216883662147e-02       2.535821316346e+04 
       1.229713986770e-02       2.542953902413e+04 
       1.242547968574e-02       2.549825338606e+04 
       1.255385592360e-02       2.556447221955e+04 
       1.268226845859e-02       2.562815233566e+04 
       1.281071719650e-02       2.568939498666e+04 
       1.293920207075e-02       2.574812007345e+04 
       1.306772304166e-02       2.580445800370e+04 
       1.319628009576e-02       2.585842338053e+04 
       1.332487324514e-02       2.590993893676e+04 
       1.345350252690e-02       2.595920663187e+04 
       1.358216800256e-02       2.600618127242e+04 
       1.371086975761e-02       2.605079106036e+04 
       1.383960790101e-02       2.609313189513e+04 
       1.396838256483e-02       2.613324750909e+04 
       1.409719390384e-02       2.617121224017e+04 
       1.422604209517e-02       2.620703470404e+04 
       1.435492733802e-02       2.624074583619e+04 
       1.448384985339e-02       2.627215792500e+04 
       1.461280988382e-02       2.630160839684e+04 
       1.474180769318e-02       2.632900342472e+04 
       1.487084356650e-02       2.635434453868e+04 
       1.499991780983e-02       2.637762556070e+04 
       1.512903075006e-02       2.639895799464e+04 
       1.525818273484e-02       2.641842813273e+04 
       1.538737413253e-02       2.643578600355e+04 
       1.551660533208e-02       2.645128260887e+04 
       1.564587674306e-02       2.646493392018e+04 
       1.577518879559e-02       2.647666889329e+04 
       1.590454194039e-02       2.648669286725e+04 
       1.603393664878e-02       2.649480780509e+04 
       1.616337341274e-02       2.650037282574e+04 
       1.629285274500e-02       2.650574660356e+04 
       1.642237517907e-02       2.650853705162e+04 
       1.655194126939e-02       2.650964191577e+04 
       1.668155159146e-02       2.650908732157e+04 
       1.681120674194e-02       2.650686585224e+04 
       1.694090733885e-02       2.650308013726e+04 
       1.707065402172e-02       2.649750372270e+04 
       1.720044745181e-02       2.649036864229e+04 
       1.733028831227e-02       2.648165727570e+04 
       1.746017730845e-02       2.647143796840e+04 
       1.759011516805e-02       2.645967191605e+04 
       1.772010264146e-02       2.644528253055e+04 
       1.785014050199e-02       2.643162893655e+04 
       1.798022954618e-02       2.641447999410e+04 
       1.811037059412e-02       2.639772425222e+04 
       1.824056448975e-02       2.637773118418e+04 
       1.837081210124e-02       2.635719074875e+04 
       1.850111432132e-02       2.633604070850e+04 
       1.863147206769e-02       2.631217049340e+04 
       1.876188628337e-02       2.628818695151e+04 
       1.889235793715e-02       2.626159911052e+04 
       1.902288802400e-02       2.623496005344e+04 
       1.915347756555e-02       2.620583435347e+04 
       1.928412761048e-02       2.617579905122e+04 
       1.941483923509e-02       2.614457106829e+04 
       1.954561354375e-02       2.611361344258e+04 
       1.967645166942e-02       2.608010960707e+04 
       1.980735477421e-02       2.604533142226e+04 
       1.993832404991e-02       2.600903957010e+04 
       2.006936071861e-02       2.597216678447e+04 
       2.020046603324e-02       2.593389368718e+04 
       2.033164127822e-02       2.589573573179e+04 
       2.046288777012e-02       2.585550787607e+04 
       2.059420685826e-02       2.581421786383e+04 
       2.072559992545e-02       2.577080646445e+04 
       2.085706838865e-02       2.572734862036e+04 
       2.098861369972e-02       2.568405700305e+04 
       2.112023734617e-02       2.563792682887e+04 
       2.125194085192e-02       2.559137789054e+04 
       2.138372577811e-02       2.554411234821e+04 
       2.151559372392e-02       2.549587822345e+04 
       2.164754632740e-02       2.544675882777e+04 
       2.177958526640e-02       2.539684358105e+04 
       2.191171225941e-02       2.534588449680e+04 
       2.204392906655e-02       2.529401522342e+04 
       2.217623749047e-02       2.524122136142e+04 
       2.230863937740e-02       2.518783194319e+04 
       2.244113661815e-02       2.513350128164e+04 
       2.257373114915e-02       2.507824065436e+04 
       2.270642495357e-02       2.502240046886e+04 
       2.283922006239e-02       2.496620143712e+04 
       2.297211855563e-02       2.490832051185e+04 
       2.310512256347e-02       2.485086490208e+04 
       2.323823426753e-02       2.479118790441e+04 
       2.337145590214e-02       2.473167894688e+04 
       2.350478975560e-02       2.467113211492e+04 
       2.363823817159e-02       2.461038043272e+04 
       2.377180355052e-02       2.454868096803e+04 
       2.390548835100e-02       2.448627659450e+04 
       2.403929509132e-02       2.442340777966e+04 
       2.417322635095e-02       2.435971661793e+04 
       2.430728477217e-02       2.429635782669e+04 
       2.444147306165e-02       2.423095160033e+04 
       2.457579399219e-02       2.416545394968e+04 
       2.471025040442e-02       2.410016014560e+04 
       2.484484520861e-02       2.403345602897e+04 
       2.497958138653e-02       2.396636305911e+04 
       2.511446199337e-02       2.389857052917e+04 
       2.524949015970e-02       2.383066140696e+04 
       2.538466909356e-02       2.376269779304e+04 
       2.552000208254e-02       2.369317209001e+04 
       2.565549249596e-02       2.362375723553e+04 
       2.579114378719e-02       2.355384032443e+04 
       2.592695949593e-02       2.348352683746e+04 
       2.606294325065e-02       2.341248492221e+04 
       2.619909877110e-02       2.334193943208e+04 
       2.633542987090e-02       2.326976767813e+04 
       2.647194046021e-02       2.319767156519e+04 
       2.660863454854e-02       2.312572039318e+04 
       2.674551624756e-02       2.305250904309e+04 
       2.688258977414e-02       2.297978113144e+04 
       2.701985945341e-02       2.290586533663e+04 
       2.715732972196e-02       2.283238007012e+04 
       2.729500513111e-02       2.275823885330e+04 
       2.743289035043e-02       2.268354028230e+04 
       2.757099017121e-02       2.260866183491e+04 
       2.770930951021e-02       2.253358895606e+04 
       2.784785341348e-02       2.245845830407e+04 
       2.798662706029e-02       2.238266242314e+04 
       2.812563576733e-02       2.230668862807e+04 
       2.826488499293e-02       2.223059088153e+04 
       2.840438034155e-02       2.215418361849e+04 
       2.854412756837e-02       2.207753314241e+04 
       2.868413258412e-02       2.200074797756e+04 
       2.882440146005e-02       2.192361360438e+04 
       2.896494043314e-02       2.184667800024e+04 
       2.910575591146e-02       2.176938853313e+04 
       2.924685447984e-02       2.169123235677e+04 
       2.938824290569e-02       2.161378221241e+04 
       2.952992814506e-02       2.153539966278e+04 
       2.967191734903e-02       2.145764180837e+04 
       2.981421787025e-02       2.137883201641e+04 
       2.995683726987e-02       2.130035341215e+04 
       3.009978332469e-02       2.122162962753e+04 
       3.024306403464e-02       2.114299601338e+04 
       3.038668763056e-02       2.106435107959e+04 
       3.053066258240e-02       2.098503307321e+04 
       3.067499760764e-02       2.090595341445e+04 
       3.081970168023e-02       2.082673692455e+04 
       3.096478403981e-02       2.074741964869e+04 
       3.111025420145e-02       2.066799881686e+04 
       3.125612196574e-02       2.058851696256e+04 
       3.140239742941e-02       2.050921783674e+04 
