# Matter power spectrum P(k) at redshift z=0
# for k=1.0245e-05 to 1.08312 h/Mpc,
# number of wavenumbers equal to 607
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.024503083247e-05       5.357125051565e+01 
       2.268869477489e-05       1.154783009170e+02 
       3.517357783410e-05       1.763740005015e+02 
       4.773102574372e-05       2.368673777479e+02 
       6.039287144965e-05       2.973068361520e+02 
       7.319170007846e-05       3.579537607225e+02 
       8.616112187459e-05       4.190316684530e+02 
       9.933605651079e-05       4.807461516393e+02 
       1.127530322033e-04       5.432951985206e+02 
       1.264505030938e-04       6.068753395502e+02 
       1.404691883741e-04       6.716858854204e+02 
       1.548524366025e-04       7.379322427504e+02 
       1.696466185587e-04       8.058285652964e+02 
       1.849015517535e-04       8.756003600781e+02 
       2.006709592988e-04       9.474867810370e+02 
       2.170129651514e-04       1.021742987701e+03 
       2.339906266785e-04       1.098642449473e+03 
       2.516725038949e-04       1.178479305278e+03 
       2.701332624280e-04       1.261570752339e+03 
       2.894543040479e-04       1.348259298746e+03 
       3.097244142086e-04       1.438915250484e+03 
       3.310404101923e-04       1.533938604428e+03 
       3.535077658495e-04       1.633761116984e+03 
       3.772411793256e-04       1.738847662633e+03 
       4.023650384381e-04       1.849697062871e+03 
       4.290137246276e-04       1.966842051932e+03 
       4.573316811732e-04       2.090847855016e+03 
       4.874731558100e-04       2.222309081936e+03 
       5.196015140879e-04       2.361845199528e+03 
       5.538880109562e-04       2.510092495741e+03 
       5.905099085851e-04       2.667693966046e+03 
       6.296478437817e-04       2.835285620742e+03 
       6.714823842233e-04       3.013479689773e+03 
       7.161897736418e-04       3.202844364136e+03 
       7.639369531672e-04       3.403881483652e+03 
       8.148760544664e-04       3.617002420935e+03 
       8.691386772312e-04       3.842504159865e+03 
       9.268303678852e-04       4.080546825211e+03 
       9.880257816940e-04       4.331137239784e+03 
       1.052765011694e-03       4.594116035229e+03 
       1.121051490111e-03       4.869154596234e+03 
       1.192851714447e-03       5.155760100765e+03 
       1.268096845145e-03       5.453288928854e+03 
       1.346686004647e-03       5.760968018811e+03 
       1.428490922860e-03       6.077920039572e+03 
       1.513361456247e-03       6.403194382664e+03 
       1.601131472476e-03       6.735792259184e+03 
       1.691624633930e-03       7.074675858128e+03 
       1.784659709441e-03       7.418862318058e+03 
       1.880055165840e-03       7.767370927757e+03 
       1.977632912926e-03       8.119263585031e+03 
       2.077221178837e-03       8.473656155083e+03 
       2.178656568438e-03       8.829725951844e+03 
       2.281785404156e-03       9.186715763251e+03 
       2.386464470673e-03       9.543935546432e+03 
       2.492561288304e-03       9.900759563895e+03 
       2.599954031293e-03       1.025662726186e+04 
       2.708531192080e-03       1.061103718119e+04 
       2.818191074951e-03       1.096354313231e+04 
       2.928841185012e-03       1.131375180988e+04 
       3.040397562631e-03       1.166131642813e+04 
       3.152784100125e-03       1.200593329485e+04 
       3.265931866535e-03       1.234733709403e+04 
       3.379778457864e-03       1.268529709176e+04 
       3.494267383654e-03       1.301961274040e+04 
       3.609347496032e-03       1.335011452434e+04 
       3.724972463953e-03       1.367665251871e+04 
       3.841100292968e-03       1.399910430457e+04 
       3.957692889330e-03       1.431735990950e+04 
       4.074715666193e-03       1.463133485421e+04 
       4.192137189133e-03       1.494095634659e+04 
       4.309928857902e-03       1.524616431917e+04 
       4.428064621289e-03       1.554691389458e+04 
       4.546520721960e-03       1.584316906483e+04 
       4.665275468346e-03       1.613487653538e+04 
       4.784309030805e-03       1.642204374523e+04 
       4.903603259496e-03       1.670469054539e+04 
       5.023141521639e-03       1.698277593517e+04 
       5.142908556060e-03       1.725629373088e+04 
       5.262890343102e-03       1.752537616335e+04 
       5.383073988225e-03       1.778991445743e+04 
       5.503447617759e-03       1.804992298392e+04 
       5.624000285469e-03       1.830474280350e+04 
       5.744721888729e-03       1.855576967544e+04 
