# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509167e-26       4.634785000235e-09       2.157256292799e+22       1.460754624790e+04       1.460754624790e-10       1.460754624790e+18       2.676317464535e-09       2.751560535470e+44       1.266507305805e+33       1.336376166075e+34       3.652690876284e-08       1.902194177205e+44       4.653754712821e+44       4.653754712821e+44       1.551251570892e+44      -1.338578885208e+53       5.963948418197e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208834e-26       4.685716703534e-09       2.111374631022e+22       1.460754624790e+04       1.476540938564e-10       1.445137089067e+18       2.705240316114e-09       2.635761930281e+44       1.226317797267e+33       1.293969540318e+34       3.652690876284e-08       1.822140902098e+44       4.457902832521e+44       4.457902832521e+44       1.485967610793e+44      -1.268536174642e+53       6.092161143854e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675391e-26       4.736648406833e-09       2.066468804565e+22       1.460754624790e+04       1.492497854366e-10       1.429686526920e+18       2.734475734726e-09       2.524836674885e+44       1.187403604387e+33       1.252908585004e+34       3.652690876284e-08       1.745456645219e+44       4.270293320241e+44       4.270293320241e+44       1.423431106701e+44      -1.202158531079e+53       6.220373869497e-06       1.917553041712e+00 
       9.682674483178e+13       8.063126489082e-26       4.787580110133e-09       2.022518058851e+22       1.460754624790e+04       1.508627215887e-10       1.414401153163e+18       2.764027098843e-09       2.418579675807e+44       1.149724258143e+33       1.213150598578e+34       3.652690876284e-08       1.671999622440e+44       4.090579298379e+44       4.090579298379e+44       1.363526432749e+44      -1.139254175588e+53       6.348586595131e-06       1.878827146122e+00 
       9.579152979933e+13       8.238343922812e-26       4.838511813432e-09       1.979502080720e+22       1.460754624790e+04       1.524930886739e-10       1.399279201700e+18       2.793897823456e-09       2.316794470871e+44       1.113240573701e+33       1.174654234510e+34       3.652690876284e-08       1.601634016574e+44       3.918428487573e+44       3.918428487573e+44       1.306142829148e+44      -1.079641364297e+53       6.476799320768e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954579e-26       4.891262506135e-09       1.937400989042e+22       1.460754624790e+04       1.541410750676e-10       1.384318925315e+18       2.824091359698e-09       2.219292865953e+44       1.077914609661e+33       1.137379458305e+34       3.652690876284e-08       1.534229726263e+44       3.753522592340e+44       3.753522592340e+44       1.251174197405e+44      -1.023147863293e+53       6.605012046401e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325770e-26       4.944013198838e-09       1.896195325532e+22       1.460754624790e+04       1.558068711809e-10       1.369518595471e+18       2.854611196179e-09       2.125894587024e+44       1.043709628601e+33       1.101287505862e+34       3.652690876284e-08       1.469662125423e+44       3.595556712568e+44       3.595556712568e+44       1.198518904149e+44      -9.696104510068e+52       6.733224772034e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577813e-26       4.998582880944e-09       1.855866045751e+22       1.460754624790e+04       1.574906694827e-10       1.354876502115e+18       2.885460859272e-09       2.036426946831e+44       1.010590058870e+33       1.066340843165e+34       3.652690876284e-08       1.407811832824e+44       3.444238779772e+44       3.444238779772e+44       1.148079593218e+44      -9.188744466275e+52       6.861437497667e-06       1.738396194400e+00 
       9.176017181296e+13       8.978126095019e-26       5.051333573647e-09       1.816394510311e+22       1.460754624790e+04       1.591926645219e-10       1.340390953473e+18       2.916643913477e-09       1.950724525616e+44       9.785214575978e+32       1.032503127248e+34       3.652690876284e-08       1.348564491358e+44       3.299289017087e+44       3.299289017087e+44       1.099763005658e+44      -8.707932631999e+52       6.989650223299e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129483e-26       5.105903255753e-09       1.777762476252e+22       1.460754624790e+04       1.609130529500e-10       1.326060275861e+18       2.948163961691e-09       1.868628865258e+44       9.474704748725e+32       9.997391684009e+33       3.652690876284e-08       1.291810556602e+44       3.160439421970e+44       3.160439421970e+44       1.053479807287e+44      -8.252279841032e+52       7.117862948926e-06       1.675769387306e+00 
       8.980856820338e+13       9.372567846682e-26       5.162291927263e-09       1.739952088618e+22       1.460754624790e+04       1.626520335433e-10       1.311882813488e+18       2.980024645723e-09       1.789988176302e+44       9.174048190612e+32       9.680148935709e+33       3.652690876284e-08       1.237445094279e+44       3.027433270687e+44       3.027433270687e+44       1.009144423527e+44      -7.820469616916e+52       7.246075674550e-06       1.646118170433e+00 
