# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.510840017643e-10       2.359706256949e-15       2.641070933726e-13       0.000000000000e+00       8.480846052635e-09       5.072511668553e-10      -1.397630971670e-12 
    3       1.425417737182e-10       4.142467387949e-15       3.423727144987e-13       0.000000000000e+00       5.222928953507e-09       3.580833216298e-10      -1.249584690382e-12 
    4       1.345307126786e-10       5.001714466133e-15       3.616427289790e-13       0.000000000000e+00       3.635104593347e-09       2.709724001134e-10      -1.012276799379e-12 
    5       1.283766487140e-10       4.798708871249e-15       3.457726466488e-13       0.000000000000e+00       2.716867529617e-09       2.142619485353e-10      -7.644850679593e-13 
    6       1.238988433133e-10       3.868751529668e-15       3.124428700136e-13       0.000000000000e+00       2.124875532617e-09       1.746142926000e-10      -5.336934358092e-13 
    7       1.207924700807e-10       2.711573233609e-15       2.736750294879e-13       0.000000000000e+00       1.716073754931e-09       1.455274828907e-10      -3.344705301896e-13 
    8       1.187177182838e-10       1.725822021019e-15       2.364979503518e-13       0.000000000000e+00       1.419502999130e-09       1.234290050343e-10      -1.740272917949e-13 
    9       1.174489796103e-10       1.093390663883e-15       2.047412337596e-13       0.000000000000e+00       1.196186004608e-09       1.061526692063e-10      -5.452300645989e-14 
   10       1.167891283178e-10       7.973226614580e-16       1.801665056974e-13       0.000000000000e+00       1.023137875623e-09       9.231905774399e-11       2.578954196185e-14 
   11       1.166078914746e-10       7.132234831170e-16       1.632996132089e-13       0.000000000000e+00       8.620366980560e-10       8.132114893302e-11       7.120029650180e-14 
   12       1.168172005050e-10       7.069068243336e-16       1.538038310830e-13       0.000000000000e+00       7.537017476853e-10       7.187857410294e-11       8.876316085767e-14 
   13       1.173524218006e-10       6.945241866164e-16       1.507098788281e-13       0.000000000000e+00       6.647381542467e-10       6.419496039414e-11       8.583171980557e-14 
   14       1.181089452489e-10       6.547429702889e-16       1.527580168438e-13       0.000000000000e+00       5.906906415264e-10       5.756512172619e-11       6.903682073337e-14 
   15       1.190222619105e-10       6.076438756180e-16       1.586541775881e-13       0.000000000000e+00       5.283423101502e-10       5.197750563307e-11       4.537020387383e-14 
   16       1.201313965282e-10       5.838652202763e-16       1.671208651151e-13       0.000000000000e+00       4.753156520357e-10       4.720530881938e-11       2.014491877735e-14 
   17       1.213845010583e-10       6.023812548038e-16       1.769879162736e-13       0.000000000000e+00       4.298133724018e-10       4.306436581118e-11      -2.735802596024e-15 
   18       1.227210753357e-10       6.637080386954e-16       1.873864541079e-13       0.000000000000e+00       3.903055670138e-10       3.943532009437e-11      -2.059472104944e-14 
   19       1.241545747295e-10       7.579500284173e-16       1.978316497402e-13       0.000000000000e+00       3.561708229122e-10       3.625742179582e-11      -3.228728332259e-14 
   20       1.256608179712e-10       8.705659152746e-16       2.078663825319e-13       0.000000000000e+00       3.260973204259e-10       3.341017175535e-11      -3.757974354214e-14 
   21       1.272445854011e-10       9.975687601837e-16       2.173609732579e-13       0.000000000000e+00       2.996154052275e-10       3.087858665193e-11      -3.724709483839e-14 
   22       1.288857474810e-10       1.139189225753e-15       2.263048393556e-13       0.000000000000e+00       2.760937082061e-10       2.863895454014e-11      -3.285246860699e-14 
   23       1.305799009540e-10       1.301648970074e-15       2.347523738380e-13       0.000000000000e+00       2.552104762213e-10       2.665237051691e-11      -2.589409742412e-14 
   24       1.323070524683e-10       1.492985558076e-15       2.427945746808e-13       0.000000000000e+00       2.364843810781e-10       2.485051857189e-11      -1.810359009021e-14 
   25       1.340766767552e-10       1.715854589110e-15       2.505293778870e-13       0.000000000000e+00       2.196963303062e-10       2.321038851323e-11      -1.081109381686e-14 
   26       1.358899131717e-10       1.970442770590e-15       2.580477167723e-13       0.000000000000e+00       2.045436768479e-10       2.170937644333e-11      -5.224179776530e-15 
   27       1.377405030019e-10       2.254780103261e-15       2.653468842567e-13       0.000000000000e+00       1.908462486351e-10       2.034260723836e-11      -1.797537700557e-15 
   28       1.396106813356e-10       2.566226402371e-15       2.723692907793e-13       0.000000000000e+00       1.783695463526e-10       1.910085840302e-11      -6.448470417375e-16 
   29       1.415084086013e-10       2.905385994219e-15       2.789887991176e-13       0.000000000000e+00       1.670503477368e-10       1.797807598037e-11      -1.505653481358e-15 
   30       1.434375587559e-10       3.273885199659e-15       2.850242095268e-13       0.000000000000e+00       1.567671423927e-10       1.695717136346e-11      -3.857558203623e-15 
   31       1.453911110331e-10       3.673266193118e-15       2.902632045832e-13       0.000000000000e+00       1.473102948622e-10       1.601241154740e-11      -7.031433895919e-15 
   32       1.473732759967e-10       4.104336304455e-15       2.945321278872e-13       0.000000000000e+00       1.386316405092e-10       1.514064503473e-11      -1.047462182592e-14 
   33       1.493828648489e-10       4.567557134868e-15       2.976475440215e-13       0.000000000000e+00       1.306707302338e-10       1.434005368856e-11      -1.356519617740e-14 
   34       1.514111572313e-10       5.063313496261e-15       2.994204705738e-13       0.000000000000e+00       1.233171149582e-10       1.360328487999e-11      -1.567923736899e-14 
   35       1.534595458220e-10       5.592315865456e-15       2.997418055621e-13       0.000000000000e+00       1.165334859725e-10       1.292439026073e-11      -1.669735472853e-14 
   36       1.555262050047e-10       6.155328128279e-15       2.985259485772e-13       0.000000000000e+00       1.102655499219e-10       1.229323232211e-11      -1.667588078165e-14 
   37       1.576048952208e-10       6.753184331059e-15       2.957043655892e-13       0.000000000000e+00       1.044318969989e-10       1.169731015091e-11      -1.573132243456e-14 
   38       1.597001085723e-10       7.387221383709e-15       2.912803102156e-13       0.000000000000e+00       9.901771850286e-11       1.113630034613e-11      -1.408817445654e-14 
